id,comments,shares,posted_by,music_author,music_title,likes
7527393407988223254,0,0,TECH Global University,TECH Global University,original sound - TECH Global University,0
7527028445981773078,0,0,TECH Global University,TECH Global University,original sound - TECH Global University,1
7525910915590540566,0,0,TECH Global University,TECH Global University,original sound - TECH Global University,2
7525909035502128406,0,0,TECH Global University,TECH Global University,original sound - TECH Global University,0
7524360097049431318,0,0,TECH Global University,TECH Global University,sonido original - TECH Global University,1
7522935785650228502,0,0,TECH Global University,TECH Global University,sonido original - TECH Global University,1
7467613173235944726,0,1,TECH Global University,TECH Global University,sonido original,2220
7394856989056044320,0,0,TECH Global University,TECH Global University,sonido original,2261
7385513596035419424,1,5,TECH Global University,TECH Global University,sonido original,2270
7335483821728501025,0,3,TECH Global University,TECH Global University,sonido original,2278
7332520730904644896,1,1,TECH Global University,TECH Global University,sonido original,2195
7299183873848528160,0,0,TECH Global University,TECH Global University,sonido original,2192
7291328669115632929,0,2,TECH Global University,TECH Global University,sonido original,2221
7247207654655823131,0,3,TECH Global University,TECH Global University,sonido original,2218
7231632726250491163,0,2,TECH Global University,TECH Global University,sonido original,2235
7216767606961851653,0,0,TECH Global University,TECH Global University,sonido original,2242
7213408099032452358,3,8,TECH Global University,TECH Global University,sonido original,2263
7509073556714654993,72,531,Đại học HUTECH,Đại học HUTECH,nhạc nền - Đại học HUTECH,5477
7460411334010670343,153,887,Đại học HUTECH,Đô Tốc Độ,nhạc nền - Đô Tốc Độ,16300
7385094540371315986,48,329,Đại học HUTECH,Đại học HUTECH,nhạc nền - Đại học HUTECH,6835
7527945873754443029,0,0,Đại học HUTECH,PeriTune,Happy & Pop songs,17
7527876162064747797,2,2,Đại học HUTECH,Đại học HUTECH,nhạc nền - Đại học HUTECH,30
7527640589723045141,1,1,Đại học HUTECH,Đại học HUTECH,nhạc nền - Đại học HUTECH,32
7527638969782144277,0,4,Đại học HUTECH,Đại học HUTECH,nhạc nền - Đại học HUTECH,87
7527529708716641554,9,9,Đại học HUTECH,Đại học HUTECH,nhạc nền - Đại học HUTECH,92
7527196756686163220,2,3,Đại học HUTECH,Đại học HUTECH,nhạc nền - Đại học HUTECH,65
7526791276251860244,0,2,Đại học HUTECH,Đại học HUTECH,nhạc nền - Đại học HUTECH,13
7526787953847323925,2,20,Đại học HUTECH,@千夜,原聲 - @千夜,201
7526788750886620436,2,5,Đại học HUTECH,Đại học HUTECH,nhạc nền - Đại học HUTECH,85
7526787144216612103,0,0,Đại học HUTECH,PeriTune,Happy & Pop songs,15
7526542980665167105,3,0,Đại học HUTECH,PeriTune,Happy & Pop songs,15
7526413848643964181,0,1,Đại học HUTECH,Đại học HUTECH,nhạc nền - Đại học HUTECH,23
7526124953897291029,2,12,Đại học HUTECH,PeriTune,Happy & Pop songs,98
7526119617148800276,5,7,Đại học HUTECH,PeriTune,Happy & Pop songs,109
7526122849891880213,3,20,Đại học HUTECH,PeriTune,Happy & Pop songs,51
7526124818232560904,0,4,Đại học HUTECH,Đại học HUTECH,nhạc nền - Đại học HUTECH,34
7525815670517402900,1,12,Đại học HUTECH,Đại học HUTECH,nhạc nền - Đại học HUTECH,279
7524898555220200724,4,6,Đại học HUTECH,Đại học HUTECH,nhạc nền - Đại học HUTECH,96
7524231921832840465,6,15,Đại học HUTECH,Đại học HUTECH,nhạc nền - Đại học HUTECH,508
7524144811130096914,1,2,Đại học HUTECH,Đại học HUTECH,nhạc nền - Đại học HUTECH,77
7524143601295658257,0,0,Đại học HUTECH,PeriTune,Happy & Pop songs,64
7523792800228412689,1,2,Đại học HUTECH,Đại học HUTECH,nhạc nền - Đại học HUTECH,45
7523563679959239937,0,6,Đại học HUTECH,PeriTune,Happy & Pop songs,110
7522655894681750804,12,108,Đại học HUTECH,Đại học HUTECH,nhạc nền - Đại học HUTECH,884
7522782667780230418,154,6771,Đại học HUTECH,Đại học HUTECH,nhạc nền - Đại học HUTECH,3238
7522494505732328724,25,251,Đại học HUTECH,PeriTune,Happy & Pop songs,1848
7522339276193844498,6,242,Đại học HUTECH,Đại học HUTECH,nhạc nền - Đại học HUTECH,1727
7522031345699278096,6,92,Đại học HUTECH,Đại học HUTECH,nhạc nền - Đại học HUTECH,640
