extra,log_pb,shareMeta,statusCode,status_code,status_msg,userInfo
"{'fatal_item_ids': [], 'logid': '20250717110133C2B0283B1A49C23E0847', 'now': 1752721293000}",{'impr_id': '20250717110133C2B0283B1A49C23E0847'},"{'desc': '@business_university84 117 Followers, 279 Following, 2092 Likes - Watch awesome short videos created by 🔥💎BUSINESS UNIVERSITY💎🔥', 'title': '🔥💎BUSINESS UNIVERSITY💎🔥 on TikTok'}",0,0,,"{'stats': {'diggCount': 0, 'followerCount': 117, 'followingCount': 279, 'friendCount': 13, 'heart': 2092, 'heartCount': 2092, 'videoCount': 73}, 'statsV2': {'diggCount': '0', 'followerCount': '117', 'followingCount': '279', 'friendCount': '13', 'heart': '2092', 'heartCount': '2092', 'videoCount': '73'}, 'user': {'UserStoryStatus': 0, 'avatarLarger': 'https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-euttp/6e11047eb29ae0a56c60316a5dbc0618~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=16ff26f4&x-expires=1752894000&x-signature=VwBT9%2FNxIgtlOe4lz7HPGLLct6Y%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarMedium': 'https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-euttp/6e11047eb29ae0a56c60316a5dbc0618~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=b779b4b1&x-expires=1752894000&x-signature=1%2F7gv%2FOm8R%2FgZ1s1Pe2BuBGmjWM%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarThumb': 'https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-euttp/6e11047eb29ae0a56c60316a5dbc0618~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=cd8dabb0&x-expires=1752894000&x-signature=o70bj%2B6IDoTiJWu4lMPyfDB3Vao%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'canExpPlaylist': True, 'commentSetting': 0, 'commerceUserInfo': {'commerceUser': False}, 'downloadSetting': 0, 'duetSetting': 0, 'followingVisibility': 1, 'ftc': False, 'id': '7336617941963703328', 'isADVirtual': False, 'isEmbedBanned': False, 'nickNameModifyTime': 1724004771, 'nickname': '🔥💎BUSINESS UNIVERSITY💎🔥', 'openFavorite': False, 'privateAccount': False, 'profileEmbedPermission': 1, 'profileTab': {'showPlayListTab': False}, 'relation': 0, 'secUid': 'MS4wLjABAAAABEKVslKJil2ZWh7xu_Z7miVB9wNoAzJNWN6NqO4O49ypg9NqNFumujoB_38aRr7s', 'secret': False, 'signature': 'Dein Erfolg wartet🔥\nSchreib mich an👨\u200d💻\nWir finden den genauen kurs für dich📈', 'stitchSetting': 0, 'ttSeller': False, 'uniqueId': 'business_university84', 'verified': False}}"
"{'fatal_item_ids': [], 'logid': '2025071711013302D5C4ECE2C09B40632A', 'now': 1752721293000}",{'impr_id': '2025071711013302D5C4ECE2C09B40632A'},"{'desc': '@misscosmo.unimedia 361.8k Followers, 23 Following, 23.2m Likes - Watch awesome short videos created by Miss Cosmo', 'title': 'Miss Cosmo on TikTok'}",0,0,,"{'stats': {'diggCount': 0, 'followerCount': 361800, 'followingCount': 23, 'friendCount': 21, 'heart': 23200000, 'heartCount': 23200000, 'videoCount': 1762}, 'statsV2': {'diggCount': '0', 'followerCount': '361755', 'followingCount': '23', 'friendCount': '21', 'heart': '23155348', 'heartCount': '23155348', 'videoCount': '1762'}, 'user': {'UserStoryStatus': 0, 'avatarLarger': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/71f2a88d1008379a1cbe6b3ce68f3aa0~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=c1366655&x-expires=1752894000&x-signature=JcBGc%2B%2BQgL8Vb1N0rQx66Kzee24%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarMedium': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/71f2a88d1008379a1cbe6b3ce68f3aa0~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=c8b9da08&x-expires=1752894000&x-signature=nHCoq897v0eQ3K3%2BJvI080N3CC4%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarThumb': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/71f2a88d1008379a1cbe6b3ce68f3aa0~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=15290243&x-expires=1752894000&x-signature=8QEIaHlk9M3aJTQi4rV%2BWWNUZ2E%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'bioLink': {'link': 'misscosmo.com', 'risk': 3}, 'canExpPlaylist': True, 'commentSetting': 0, 'commerceUserInfo': {'category': 'Media & Entertainment', 'categoryButton': False, 'commerceUser': True, 'downLoadLink': {'android': '', 'ios': ''}}, 'downloadSetting': 0, 'duetSetting': 0, 'followingVisibility': 1, 'ftc': False, 'id': '7022699649589707777', 'isADVirtual': False, 'isEmbedBanned': False, 'nickNameModifyTime': 1691741112, 'nickname': 'Miss Cosmo', 'openFavorite': False, 'privateAccount': False, 'profileEmbedPermission': 1, 'profileTab': {'showPlayListTab': True}, 'relation': 0, 'secUid': 'MS4wLjABAAAApN4YGZaZXnMuiCYNE_Yhk9zGe0KgxAHvl3rYS_lciq9ihlk9pmDhjhzVHX7tt__Q', 'secret': False, 'signature': 'Official account of Miss Cosmo \nFor work: sales@unimediasg.vn', 'stitchSetting': 0, 'ttSeller': False, 'uniqueId': 'misscosmo.unimedia', 'verified': True}}"
"{'fatal_item_ids': [], 'logid': '2025071711013437C23857D77C1944162C', 'now': 1752721294000}",{'impr_id': '2025071711013437C23857D77C1944162C'},"{'desc': '@cpstudentorganization 1152 Followers, 14 Following, 53.5k Likes - Watch awesome short videos created by CP Student Organization', 'title': 'CP Student Organization on TikTok'}",0,0,,"{'stats': {'diggCount': 0, 'followerCount': 1152, 'followingCount': 14, 'friendCount': 14, 'heart': 53500, 'heartCount': 53500, 'videoCount': 60}, 'statsV2': {'diggCount': '0', 'followerCount': '1152', 'followingCount': '14', 'friendCount': '14', 'heart': '53475', 'heartCount': '53475', 'videoCount': '60'}, 'user': {'UserStoryStatus': 0, 'avatarLarger': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/19627ef577422dc79e82b6038928b108~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=2130e427&x-expires=1752894000&x-signature=oAzbpFLNJiMmx5pmdiSZULgpZpM%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarMedium': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/19627ef577422dc79e82b6038928b108~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=f430561c&x-expires=1752894000&x-signature=LIkJtvErYboZQsAt6S1JxpDg16c%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarThumb': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/19627ef577422dc79e82b6038928b108~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=24ea4ab2&x-expires=1752894000&x-signature=NMcrEFr0Ou6BIc9SNSDjTluKs%2BE%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'canExpPlaylist': True, 'commentSetting': 0, 'commerceUserInfo': {'category': 'Media & Entertainment', 'categoryButton': False, 'commerceUser': True}, 'downloadSetting': 0, 'duetSetting': 0, 'followingVisibility': 1, 'ftc': False, 'id': '7279158809134400558', 'isADVirtual': False, 'isEmbedBanned': False, 'nickNameModifyTime': 1694811348, 'nickname': 'CP Student Organization', 'openFavorite': False, 'privateAccount': False, 'profileEmbedPermission': 1, 'profileTab': {'showPlayListTab': False}, 'relation': 0, 'secUid': 'MS4wLjABAAAA75HQiCiCfwxh6nw4SylJFiU72B2Z6IfcIHvUKBz_-jtQP1-gW4f-gg8J0GlFhLY9', 'secret': False, 'signature': 'instagram:carleplacestudentorganization', 'stitchSetting': 0, 'ttSeller': False, 'uniqueId': 'cpstudentorganization', 'verified': False}}"
"{'fatal_item_ids': [], 'logid': '2025071711013439C70A85B7CC823DC812', 'now': 1752721294000}",{'impr_id': '2025071711013439C70A85B7CC823DC812'},"{'desc': '@university_student 137 Followers, 0 Following, 0 Likes - Watch awesome short videos created by University_student', 'title': 'University_student on TikTok'}",0,0,,"{'stats': {'diggCount': 0, 'followerCount': 137, 'followingCount': 0, 'friendCount': 0, 'heart': 0, 'heartCount': 0, 'videoCount': 0}, 'statsV2': {'diggCount': '0', 'followerCount': '137', 'followingCount': '0', 'friendCount': '0', 'heart': '0', 'heartCount': '0', 'videoCount': '0'}, 'user': {'UserStoryStatus': 0, 'avatarLarger': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7328614329770835974~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=cf93d1a2&x-expires=1752894000&x-signature=8ieY60PNiNkexMSGQs22hpJx5hc%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarMedium': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7328614329770835974~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=2ec2e5f6&x-expires=1752894000&x-signature=jzpGieEgk%2FySjl%2BMTWjCrYCI1F4%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarThumb': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7328614329770835974~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=9092d21a&x-expires=1752894000&x-signature=RaGzet7s5%2FepZiwEV1xA8ckHAzo%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'canExpPlaylist': True, 'commentSetting': 0, 'commerceUserInfo': {'commerceUser': False}, 'downloadSetting': 0, 'duetSetting': 0, 'followingVisibility': 1, 'ftc': False, 'id': '6764546280557659141', 'isADVirtual': False, 'isEmbedBanned': False, 'nickname': 'University_student', 'openFavorite': False, 'privateAccount': False, 'profileEmbedPermission': 3, 'profileTab': {'showPlayListTab': False}, 'relation': 0, 'secUid': 'MS4wLjABAAAACVoRbob0-pz-6xWcR-8W2MUu4yuh9XygRcswkSFtFVtP_vnHsuwNTVAJVceU66Pu', 'secret': False, 'signature': '', 'stitchSetting': 0, 'ttSeller': False, 'uniqueId': 'university_student', 'verified': False}}"
"{'fatal_item_ids': [], 'logid': '20250717110134829A0340A79D2D40E05F', 'now': 1752721294000}",{'impr_id': '20250717110134829A0340A79D2D40E05F'},"{'desc': '@iqra.university.student 15.0k Followers, 17 Following, 270.7k Likes - Watch awesome short videos created by University Students', 'title': 'University Students on TikTok'}",0,0,,"{'stats': {'diggCount': 0, 'followerCount': 15000, 'followingCount': 17, 'friendCount': 10, 'heart': 270700, 'heartCount': 270700, 'videoCount': 128}, 'statsV2': {'diggCount': '0', 'followerCount': '15029', 'followingCount': '17', 'friendCount': '10', 'heart': '270740', 'heartCount': '270740', 'videoCount': '128'}, 'user': {'UserStoryStatus': 0, 'avatarLarger': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/f573a51009762ee6596abf7712db6a1d~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=b1bdd299&x-expires=1752894000&x-signature=hYfyCoDLsMaStO%2Bsol%2F6AIpgaDQ%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarMedium': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/f573a51009762ee6596abf7712db6a1d~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=ef9b584a&x-expires=1752894000&x-signature=Z8d2Rm0VMMdrgf%2BTwNIeKNNjCBE%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarThumb': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/f573a51009762ee6596abf7712db6a1d~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=5a99fa49&x-expires=1752894000&x-signature=2YFImjDBgu5796pTTr%2BEuO4C3iw%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'canExpPlaylist': True, 'commentSetting': 0, 'commerceUserInfo': {'commerceUser': False}, 'downloadSetting': 0, 'duetSetting': 0, 'followingVisibility': 2, 'ftc': False, 'id': '7317269380814324741', 'isADVirtual': False, 'isEmbedBanned': False, 'nickNameModifyTime': 1710341465, 'nickname': 'University Students', 'openFavorite': False, 'privateAccount': False, 'profileEmbedPermission': 1, 'profileTab': {'showPlayListTab': False}, 'relation': 0, 'secUid': 'MS4wLjABAAAA8zLMIP5usW8bNa6dTj6Wb6IBek0w8I0MmBvdUpPNJ_S6j7URlKjW75Fco7tTuiAi', 'secret': False, 'signature': '', 'stitchSetting': 0, 'ttSeller': False, 'uniqueId': 'iqra.university.student', 'verified': False}}"
"{'fatal_item_ids': [], 'logid': '20250717110134829A0340A79D2D40E06A', 'now': 1752721294000}",{'impr_id': '20250717110134829A0340A79D2D40E06A'},"{'desc': '@universitystudent38 2947 Followers, 0 Following, 1.6m Likes - Watch awesome short videos created by University Student', 'title': 'University Student on TikTok'}",0,0,,"{'stats': {'diggCount': 0, 'followerCount': 2947, 'followingCount': 0, 'friendCount': 0, 'heart': 1600000, 'heartCount': 1600000, 'videoCount': 100}, 'statsV2': {'diggCount': '0', 'followerCount': '2947', 'followingCount': '0', 'friendCount': '0', 'heart': '1595089', 'heartCount': '1595089', 'videoCount': '100'}, 'user': {'UserStoryStatus': 0, 'avatarLarger': 'https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/9f15293995d8e40c5560249f745e1d69~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=7a311c32&x-expires=1752894000&x-signature=nbVhrvy6Je2Y8OvIteMxtepwJgE%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarMedium': 'https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/9f15293995d8e40c5560249f745e1d69~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=51b1f3e1&x-expires=1752894000&x-signature=m0h2HV9OWEJ62btgKs32gc%2BuF%2B4%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarThumb': 'https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/9f15293995d8e40c5560249f745e1d69~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=3a243df8&x-expires=1752894000&x-signature=sVf5yDgFoacrLt8IKEfyB%2FfpVjk%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'canExpPlaylist': True, 'commentSetting': 0, 'commerceUserInfo': {'commerceUser': False}, 'downloadSetting': 0, 'duetSetting': 0, 'followingVisibility': 1, 'ftc': False, 'id': '7455386121914450966', 'isADVirtual': False, 'isEmbedBanned': False, 'nickNameModifyTime': 1735842589, 'nickname': 'University Student', 'openFavorite': False, 'privateAccount': False, 'profileEmbedPermission': 1, 'profileTab': {'showPlayListTab': False}, 'relation': 0, 'secUid': 'MS4wLjABAAAAVo4e48GSlrK-ydf5w57vC5AKqpWpYV-HNxLg79sXhK-YyRUhhrKLRotsljI7ln10', 'secret': False, 'signature': '✨   Student Meme Page   ✨\n ✨    Academic Victims   ✨\n    ✨3005/5000 Victims✨', 'stitchSetting': 0, 'ttSeller': False, 'uniqueId': 'universitystudent38', 'verified': False}}"
"{'fatal_item_ids': [], 'logid': '2025071711013429205824BC674B6783E7', 'now': 1752721294000}",{'impr_id': '2025071711013429205824BC674B6783E7'},"{'desc': '@nuts241 482 Followers, 87 Following, 15.6k Likes - Watch awesome short videos created by Student organization', 'title': 'Student organization on TikTok'}",0,0,,"{'stats': {'diggCount': 0, 'followerCount': 482, 'followingCount': 87, 'friendCount': 86, 'heart': 15600, 'heartCount': 15600, 'videoCount': 23}, 'statsV2': {'diggCount': '0', 'followerCount': '482', 'followingCount': '87', 'friendCount': '86', 'heart': '15640', 'heartCount': '15640', 'videoCount': '23'}, 'user': {'UserStoryStatus': 0, 'avatarLarger': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/c4403a064dedff120daae7042f16c3bc~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=646ac0a5&x-expires=1752894000&x-signature=YGhyFf9eh5bWuEXzV5o5UdHodIM%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarMedium': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/c4403a064dedff120daae7042f16c3bc~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=0c4589bc&x-expires=1752894000&x-signature=pSgnfdwlWe0J8HP9U%2Fty31BTi0Y%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarThumb': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/c4403a064dedff120daae7042f16c3bc~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=326b234a&x-expires=1752894000&x-signature=N0Efl8SnFZEATpTRgav2E%2BUuTLE%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'canExpPlaylist': True, 'commentSetting': 0, 'commerceUserInfo': {'commerceUser': False}, 'downloadSetting': 0, 'duetSetting': 0, 'followingVisibility': 1, 'ftc': False, 'id': '7208792497035772936', 'isADVirtual': False, 'isEmbedBanned': False, 'nickNameModifyTime': 1738408713, 'nickname': 'Student organization', 'openFavorite': False, 'privateAccount': False, 'profileEmbedPermission': 1, 'profileTab': {'showPlayListTab': False}, 'relation': 0, 'secUid': 'MS4wLjABAAAA6eyAJWwoZxIyWeecNn9WzZQUvL66PYspJ3G-RI4lmVNOKqx52Q68xgksxWjCxjbt', 'secret': False, 'signature': 'คณะกรรมการองค์กรนักศึกษา สกร.ระดับเขตห้วยขวาง', 'stitchSetting': 0, 'ttSeller': False, 'uniqueId': 'nuts241', 'verified': False}}"
"{'fatal_item_ids': [], 'logid': '2025071711013472CCFF3602F17B40A627', 'now': 1752721295000}",{'impr_id': '2025071711013472CCFF3602F17B40A627'},"{'desc': '@business_university_ 27 Followers, 12 Following, 391 Likes - Watch awesome short videos created by business.university', 'title': 'business.university on TikTok'}",0,0,,"{'stats': {'diggCount': 0, 'followerCount': 27, 'followingCount': 12, 'friendCount': 1, 'heart': 391, 'heartCount': 391, 'videoCount': 9}, 'statsV2': {'diggCount': '0', 'followerCount': '27', 'followingCount': '12', 'friendCount': '1', 'heart': '391', 'heartCount': '391', 'videoCount': '9'}, 'user': {'UserStoryStatus': 0, 'avatarLarger': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/0a84119c56c249458e12cbcf0232416e~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=08c1db94&x-expires=1752894000&x-signature=hsUBO7L5cUsmdb99%2FcjPsHB6vBI%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarMedium': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/0a84119c56c249458e12cbcf0232416e~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=da3bc94e&x-expires=1752894000&x-signature=yt1OWqDAHCrkHNp%2BcV3EJ1rkYEM%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarThumb': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/0a84119c56c249458e12cbcf0232416e~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=16f0d6b6&x-expires=1752894000&x-signature=%2Bta7fAlbqVqZrKjN1kQvQe%2F4j7U%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'canExpPlaylist': True, 'commentSetting': 0, 'commerceUserInfo': {'category': 'Others', 'categoryButton': False, 'commerceUser': True}, 'downloadSetting': 0, 'duetSetting': 0, 'followingVisibility': 2, 'ftc': False, 'id': '7191526025573319685', 'isADVirtual': False, 'isEmbedBanned': False, 'nickNameModifyTime': 1674407680, 'nickname': 'business.university', 'openFavorite': False, 'privateAccount': False, 'profileEmbedPermission': 1, 'profileTab': {'showPlayListTab': False}, 'relation': 0, 'secUid': 'MS4wLjABAAAAnJczRafENy0eVJ0cZ44pqi_2o40FMrjJCif3Hca_lCE2NB4Ux-6Ix25WjPXxgdyO', 'secret': False, 'signature': 'DM moi sur insta pour faire de l’argent🚀', 'stitchSetting': 0, 'ttSeller': False, 'uniqueId': 'business_university_', 'verified': False}}"
"{'fatal_item_ids': [], 'logid': '2025071711013566651C5E512C753FE6D7', 'now': 1752721295000}",{'impr_id': '2025071711013566651C5E512C753FE6D7'},"{'desc': '@university_bu 1170 Followers, 8176 Following, 106 Likes - Watch awesome short videos created by Business University', 'title': 'Business University on TikTok'}",0,0,,"{'stats': {'diggCount': 0, 'followerCount': 1170, 'followingCount': 8176, 'friendCount': 216, 'heart': 106, 'heartCount': 106, 'videoCount': 15}, 'statsV2': {'diggCount': '0', 'followerCount': '1170', 'followingCount': '8176', 'friendCount': '216', 'heart': '106', 'heartCount': '106', 'videoCount': '15'}, 'user': {'UserStoryStatus': 0, 'avatarLarger': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/ad3fdc50f86e3be80f6709dab1b1236b~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=b4bf3bd8&x-expires=1752894000&x-signature=3a1WA6y7RS%2FlMKQ6Ppw1eMNmsjo%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarMedium': 'https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/ad3fdc50f86e3be80f6709dab1b1236b~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=d3789302&x-expires=1752894000&x-signature=g05p5yNncilrhX4Xgkng9wAdZxg%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarThumb': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/ad3fdc50f86e3be80f6709dab1b1236b~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=a05e631e&x-expires=1752894000&x-signature=Jd7UXCiVZVL5HtNNU1MeiC2wYCg%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'bioLink': {'link': 'https://linkmix.co/11588221', 'risk': 3}, 'canExpPlaylist': True, 'commentSetting': 0, 'commerceUserInfo': {'category': 'Finance & Investing', 'categoryButton': False, 'commerceUser': True}, 'downloadSetting': 3, 'duetSetting': 3, 'followingVisibility': 1, 'ftc': False, 'id': '6946493306281067525', 'isADVirtual': False, 'isEmbedBanned': False, 'nickNameModifyTime': 1662919953, 'nickname': 'Business University', 'openFavorite': False, 'privateAccount': False, 'profileEmbedPermission': 1, 'profileTab': {'showPlayListTab': False}, 'relation': 0, 'secUid': 'MS4wLjABAAAAFgpjuOOpMBWkosgknyK9Ao9Z_TLrj2Ym-_W940Pat_bhtKyO6D4V9UBqOp-jOVO3', 'secret': False, 'signature': 'https://discord.gg/dUyKxX6Ybp\nwww.cutt.ly/fCGpXic\nGet rich Now! \n     ⏬', 'stitchSetting': 3, 'ttSeller': False, 'uniqueId': 'university_bu', 'verified': False}}"
"{'fatal_item_ids': [], 'logid': '202507171101356DEAB1154E1E60426853', 'now': 1752721295000}",{'impr_id': '202507171101356DEAB1154E1E60426853'},"{'desc': '@university_studen 123 Followers, 0 Following, 0 Likes - Watch awesome short videos created by university_student', 'title': 'university_student on TikTok'}",0,0,,"{'stats': {'diggCount': 0, 'followerCount': 123, 'followingCount': 0, 'friendCount': 0, 'heart': 0, 'heartCount': 0, 'videoCount': 0}, 'statsV2': {'diggCount': '0', 'followerCount': '123', 'followingCount': '0', 'friendCount': '0', 'heart': '0', 'heartCount': '0', 'videoCount': '0'}, 'user': {'UserStoryStatus': 0, 'avatarLarger': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7326599458643738630~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=46969a30&x-expires=1752894000&x-signature=yuAYAKgNF84kAr9EUioXRZMceZ0%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarMedium': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7326599458643738630~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=96df3024&x-expires=1752894000&x-signature=G0tLQUbfouYs3W8sROXVkmc6eko%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarThumb': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7326599458643738630~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=618af26a&x-expires=1752894000&x-signature=KeeguY%2BJOeeTislL8R9zRHwCybs%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'canExpPlaylist': True, 'commentSetting': 0, 'commerceUserInfo': {'commerceUser': False}, 'downloadSetting': 0, 'duetSetting': 0, 'followingVisibility': 1, 'ftc': False, 'id': '6673546216817886214', 'isADVirtual': False, 'isEmbedBanned': False, 'nickname': 'university_student', 'openFavorite': False, 'privateAccount': False, 'profileEmbedPermission': 3, 'profileTab': {'showPlayListTab': False}, 'relation': 0, 'secUid': 'MS4wLjABAAAAF-AVtsibH_ZT4qEp3D0epFf8QRaecaXiOpRdEl7gZuM6Qete9A71p_VTWdby3Lqv', 'secret': False, 'signature': '', 'stitchSetting': 0, 'ttSeller': False, 'uniqueId': 'university_studen', 'verified': False}}"
