username,nickname,signature,followers,following,likes,videos_count,is_verified,privateAccount
w.nnj,Eng waed | وعد الحمد,"🥺🤍thx
🇸🇾🇦🇪Loc:📍Jordan 
Civil Engineering
Insta: w.nnj1",1300000,2173,8900000,622,False,False
aiengineeringuniversity,aiengineeringuniversity,"🙏📚 AI Education 📍NYC

Learn about Machine Learning, LLMs, Stable Diffusion",12,14,5,2,False,False
duengineering,Durham University Engineering,"Durham University Department of Engineering
The world beyond the degree 🚀",49,25,1914,4,False,False
yessicarcamo,Yessica Carcamo,"DIOS es primero ♥️🙏🏻 
Soy Ingeniero civil👷🏻‍♀️
Bemedia.publicidad@gmail.com",2600000,1065,172200000,5681,False,False
esu.osut,Engineering Summer University,"✨ Ești clasa a 11-a?✨
🎀 Fă-ți vara memorabilă! Hai la ESU! 🎀",458,28,4293,19,False,False
engine_ering,Engineering,,223,143,313,55,False,False
university4142,University,"Games 
Follow me and I'll follow back＼(^_^)／
ゲームなど 
フォロー返します！#フォロバ",3533,4938,2210,55,False,False
engineeringcouncil,Engineering Council,The UK regulatory body for the engineering profession.,2,0,0,0,False,False
universal.enginee16,Universal Engineering Consult,,59,1,183,10,False,False
itu_miaji,🌸 Itu Miaji 🌸,Hi!,1400000,8,21600000,40,True,False
unigyes_,U.G. Engineering Society,The University of Guyana Engineering Society💪🔥,39,1,430,26,False,False
engsocucc,UCC Engineering Society,"The official TikTok account for UCC’s Engineering Society!
👁👄👁",171,21,188,5,False,False
cesdlsu,DLSU Civil Engineering Society,An accredited professional organization for civil engineering students of DLSU.,60,0,513,22,False,False
upei.engineering.society,UPEI Engineering Society,"UPEI Engineering Society 

Student-Run Society

📧: engnsociety@upei.ca",0,0,0,0,False,False
engineering.socie6,Engineering Society,,60,0,733,27,False,False
aiengineeringuniversity,aiengineeringuniversity,"🙏📚 AI Education 📍NYC

Learn about Machine Learning, LLMs, Stable Diffusion",12,14,5,2,False,False
engineersociety_,Engineers Society,"⚙️ All Things Engineering🏗️
‼️Daily Uploads‼️",825,2,74600,17,False,False
engineeringsociety,@engineeringsociety,,196,0,303,6,False,False
duengineering,Durham University Engineering,"Durham University Department of Engineering
The world beyond the degree 🚀",49,25,1914,4,False,False
engineering.socie,engineering.society,,15,214,0,0,False,True
engineering.club.mu,Engineering Club MU,"حساب يخص النادي الهندسي بكلية الهندسة - جامعة المجمعة
EC_MU
حساب غير رسمي",245,0,1960,20,False,False
aiengineeringuniversity,aiengineeringuniversity,"🙏📚 AI Education 📍NYC

Learn about Machine Learning, LLMs, Stable Diffusion",12,14,5,2,False,False
au_civilengineeringclub,Au _Civil Engineering Club,Au Civil Engineering Club,24,3,51,2,False,False
tp_esc,Engineering Studies Club,"𝙶𝚎𝚝 𝙸𝚗 𝙶𝚎𝚊𝚛!! ⚙️
#tpengine #tpesc",73,13,2114,19,False,False
duengineering,Durham University Engineering,"Durham University Department of Engineering
The world beyond the degree 🚀",49,25,1914,4,False,False
bmu_gencleri,BAKU ENGİNEERİNG UNİVERSİTY✅️,,31,3,2910,5,False,False
esu.osut,Engineering Summer University,"✨ Ești clasa a 11-a?✨
🎀 Fă-ți vara memorabilă! Hai la ESU! 🎀",458,28,4293,19,False,False
itu_miaji,🌸 Itu Miaji 🌸,Hi!,1400000,8,21600000,40,True,False
university4142,University,"Games 
Follow me and I'll follow back＼(^_^)／
ゲームなど 
フォロー返します！#フォロバ",3533,4938,2210,55,False,False
engineering.club1,Engineering Club,,12,0,17,3,False,False
aiengineeringuniversity,aiengineeringuniversity,"🙏📚 AI Education 📍NYC

Learn about Machine Learning, LLMs, Stable Diffusion",12,14,5,2,False,False
duengineering,Durham University Engineering,"Durham University Department of Engineering
The world beyond the degree 🚀",49,25,1914,4,False,False
aijengineersassociates,AIJ Engineering & Associates,"اپنے گھر کا نقشہ ہم سے بنوائیں 
📞 03030446405
aijengineersassociates@gmail.com",38,5,0,0,False,False
annaxsitar,anna x,"i’m so happy you’re here. 
@ANNA’S GUIDE",11700000,924,1900000000,5275,True,False
marine.engineerin56,Marine engineering association,,1,7,0,1,False,False
aoefoe,Association of Engineering,Faculty of Engineering - NSBM Green University,155,2,872,11,False,False
university4142,University,"Games 
Follow me and I'll follow back＼(^_^)／
ゲームなど 
フォロー返します！#フォロバ",3533,4938,2210,55,False,False
associationunivers,associationunivers,Mail à contacter associationunivers09@gmail.com,113,0,89,3,False,False
universityenginee,universityenginee,,0,0,0,0,False,False
engineeringassociation,Architect sab,,64,5,18,2,False,False
uakronesc,UA Engineering Student Council,The University of Akron Engineering Student Council 🦘⚙️,9,13,72,3,False,False
ku_esc,KU Engineering Student Council,Connecting Engineering Students with their peers!,32,18,19,2,False,False
w.nnj,Eng waed | وعد الحمد,"🥺🤍thx
🇸🇾🇦🇪Loc:📍Jordan 
Civil Engineering
Insta: w.nnj1",1300000,2173,8900000,622,False,False
studentengineering,Engineering Student,Doing maths🤷🏼‍♂️,5622,318,90600,62,False,False
stellenbosch.esc,Engineering Student Council,"Encouraging development, creating improvement and voicing opportunities.",39,0,0,0,False,False
yessicarcamo,Yessica Carcamo,"DIOS es primero ♥️🙏🏻 
Soy Ingeniero civil👷🏻‍♀️
Bemedia.publicidad@gmail.com",2600000,1065,172200000,5681,False,False
university_student,University_student,,137,0,0,0,False,False
universitystudent38,University Student,"✨   Student Meme Page   ✨
 ✨    Academic Victims   ✨
    ✨3005/5000 Victims✨",2947,0,1600000,100,False,False
hau.usc,HAU University Student Council,The official Tiktok account of HAU-USC.,238,0,2055,29,False,False
sastudentcouncil,SAstudentcouncil,"สภานักเรียนโรงเรียนสตรีอ่างทอง  ปีการศึกษา 2568
 💛💙",2005,0,57900,29,False,False
ess_ucalgary,Engineering Student Society,Helping students through various events and services!,17,0,106,10,False,False
ess__aub,Engineering Student Society,Engineering Students Society AUB - CRN: 5142,642,9,119900,13,False,False
studentengineering,Engineering Student,Doing maths🤷🏼‍♂️,5622,318,90600,62,False,False
engineeringsociety,@engineeringsociety,,196,0,303,6,False,False
iqra.university.student,University Students,,15000,17,270700,128,False,False
universitystudent38,University Student,"✨   Student Meme Page   ✨
 ✨    Academic Victims   ✨
    ✨3005/5000 Victims✨",2947,0,1600000,100,False,False
engineering.stu,Engineering Student,,68,111,11,4,False,False
.engineering.stud,Engineering Student👷🏻‍♀️🇱🇾,"“In every corner, a story; in every design, a soul.” 🖤✨",2790,16,9864,32,False,False
civil.engineering488,Civil Engineering Student Note,"Civil Engineering Enthusiast | Sharing knowledge, experiences, and passion📚👷🧑",5517,77,21700,152,False,False
pe_th_ja,เพชร หนุ่มวิศวะที่จริงใจ,"[Contact for work]
✅Line : Pethkon8401✅
ไม่อนุญาตให้ดูดคลิป",1100000,404,30400000,1172,False,False
student_girl302,University Students,Follow My New UK Account ^_^,225,252,270,3,False,False
studentengineering,Engineering Student,Doing maths🤷🏼‍♂️,5622,318,90600,62,False,False
universitystudent38,University Student,"✨   Student Meme Page   ✨
 ✨    Academic Victims   ✨
    ✨3005/5000 Victims✨",2947,0,1600000,100,False,False
university_student,University_student,,137,0,0,0,False,False
iqra.university.student,University Students,,15000,17,270700,128,False,False
engineering.stude,Engineering 💞 students ⛑️,"Rangpur💞💞 polytechincal💞💞 Institute 💞💞
   
 ❤️‍🩹❤️‍🩹   Md Shohag khan..",752,73,5868,254,False,False
engineering.stu,Engineering Student,,68,111,11,4,False,False
.engineering.stud,Engineering Student👷🏻‍♀️🇱🇾,"“In every corner, a story; in every design, a soul.” 🖤✨",2790,16,9864,32,False,False
student.engineeri,Student engineering,"السلام عليكم modélisation et simulation,  SOLIDWORKS, Ansys, Abaqus ,Master, phD",0,11,1,3,False,False
engineringstudent,University Student,Nanotechnology engineering student at the university of Waterloo.,59,0,26,7,False,False
studentengineering,Engineering Student,Doing maths🤷🏼‍♂️,5622,318,90600,62,False,False
engineeringstuden3,Engineering Students Welfare Association,,12,1,0,0,False,False
universitystudent38,University Student,"✨   Student Meme Page   ✨
 ✨    Academic Victims   ✨
    ✨3005/5000 Victims✨",2947,0,1600000,100,False,False
mechanicalenginee51,"Mechanical Engineering Students' Association, ACET",,0,1,0,0,False,True
iqra.university.student,University Students,,15000,17,270700,128,False,False
user29abo_asad,university student,"كلية التربية (جامعه تكريت) 
علوم صرفة (قسم الرياضيات) 
(ابو اسد ❤)",8529,138,118600,266,False,False
