extra,log_pb,shareMeta,statusCode,status_code,status_msg,userInfo
"{'fatal_item_ids': [], 'logid': '202507171114574F5E979CDCED0940C119', 'now': 1752722097000}",{'impr_id': '202507171114574F5E979CDCED0940C119'},"{'desc': '@w.nnj 1.3m Followers, 2173 Following, 8.9m Likes - Watch awesome short videos created by Eng waed | وعد الحمد', 'title': 'Eng waed | وعد الحمد on TikTok'}",0,0,,"{'stats': {'diggCount': 0, 'followerCount': 1300000, 'followingCount': 2173, 'friendCount': 1764, 'heart': 8900000, 'heartCount': 8900000, 'videoCount': 622}, 'statsV2': {'diggCount': '0', 'followerCount': '1254314', 'followingCount': '2173', 'friendCount': '1764', 'heart': '8904457', 'heartCount': '8904457', 'videoCount': '622'}, 'user': {'UserStoryStatus': 0, 'avatarLarger': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/fc233ac644fd2842a777474ddab3f0e0~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=1177efa1&x-expires=1752894000&x-signature=aOJ8CP%2BtquDlotqBLaLBg9gSBHs%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarMedium': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/fc233ac644fd2842a777474ddab3f0e0~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=f53dc475&x-expires=1752894000&x-signature=Ojxqc9GGbtC9Gku%2F0BQIomOj2Rw%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarThumb': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/fc233ac644fd2842a777474ddab3f0e0~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=d402fdc1&x-expires=1752894000&x-signature=GnPH4CdPfp%2BZz28%2BiQ1Dxs911Ns%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'bioLink': {'link': 'https://snapchat.com/t/mj93F1oW', 'risk': 0}, 'canExpPlaylist': True, 'commentSetting': 0, 'commerceUserInfo': {'commerceUser': False}, 'downloadSetting': 0, 'duetSetting': 0, 'followingVisibility': 2, 'ftc': False, 'id': '225761905787740160', 'isADVirtual': False, 'isEmbedBanned': False, 'nickname': 'Eng waed | وعد الحمد', 'openFavorite': False, 'privateAccount': False, 'profileEmbedPermission': 1, 'profileTab': {'showPlayListTab': True, 'showQuestionTab': True}, 'relation': 0, 'secUid': 'MS4wLjABAAAAUKtks-snjpt0dQQ-1zLrNq1jZ2UxP1Kovz7v7x-QJ_WSWRBT1zB2bEM0KuXEXrtZ', 'secret': False, 'signature': '🥺🤍thx\n🇸🇾🇦🇪Loc:📍Jordan \nCivil Engineering\nInsta: w.nnj1', 'stitchSetting': 0, 'ttSeller': False, 'uniqueId': 'w.nnj', 'verified': False}}"
"{'fatal_item_ids': [], 'logid': '20250717111457EF6C64F743F84267FECE', 'now': 1752722097000}",{'impr_id': '20250717111457EF6C64F743F84267FECE'},"{'desc': '@aiengineeringuniversity 12 Followers, 14 Following, 5 Likes - Watch awesome short videos created by aiengineeringuniversity', 'title': 'aiengineeringuniversity on TikTok'}",0,0,,"{'stats': {'diggCount': 0, 'followerCount': 12, 'followingCount': 14, 'friendCount': 5, 'heart': 5, 'heartCount': 5, 'videoCount': 2}, 'statsV2': {'diggCount': '0', 'followerCount': '12', 'followingCount': '14', 'friendCount': '5', 'heart': '5', 'heartCount': '5', 'videoCount': '2'}, 'user': {'UserStoryStatus': 0, 'avatarLarger': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/a43f902107da9ff2a5de461f5846f09b~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=7b589041&x-expires=1752894000&x-signature=1cy7IiyNtm6Q1z2BLnubSw7u6xk%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarMedium': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/a43f902107da9ff2a5de461f5846f09b~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=a65569af&x-expires=1752894000&x-signature=ukpNS3nppSx%2BLRfqFhcje8uF78w%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarThumb': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/a43f902107da9ff2a5de461f5846f09b~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=65ba622a&x-expires=1752894000&x-signature=qiSh0fHLh7Yo264ih3GcBUOB%2F3k%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'canExpPlaylist': True, 'commentSetting': 0, 'commerceUserInfo': {'category': 'Education & Training', 'categoryButton': False, 'commerceUser': True}, 'downloadSetting': 0, 'duetSetting': 0, 'followingVisibility': 1, 'ftc': False, 'id': '7352547548816688174', 'isADVirtual': False, 'isEmbedBanned': False, 'nickNameModifyTime': 1719175165, 'nickname': 'aiengineeringuniversity', 'openFavorite': False, 'privateAccount': False, 'profileEmbedPermission': 1, 'profileTab': {'showPlayListTab': False}, 'relation': 0, 'secUid': 'MS4wLjABAAAAzInU8O4sDb9TMcAZxTEQrhZ2Q__q-Pz_3HqXnR_qP8M8MLVgy3Uk1k3ooVF-ASaF', 'secret': False, 'signature': '🙏📚 AI Education 📍NYC\n\nLearn about Machine Learning, LLMs, Stable Diffusion', 'stitchSetting': 0, 'ttSeller': False, 'uniqueId': 'aiengineeringuniversity', 'verified': False}}"
"{'fatal_item_ids': [], 'logid': '20250717111457BF32504F04EEC6413562', 'now': 1752722097000}",{'impr_id': '20250717111457BF32504F04EEC6413562'},"{'desc': '@duengineering 49 Followers, 25 Following, 1914 Likes - Watch awesome short videos created by Durham University Engineering', 'title': 'Durham University Engineering on TikTok'}",0,0,,"{'stats': {'diggCount': 0, 'followerCount': 49, 'followingCount': 25, 'friendCount': 9, 'heart': 1914, 'heartCount': 1914, 'videoCount': 4}, 'statsV2': {'diggCount': '0', 'followerCount': '49', 'followingCount': '25', 'friendCount': '9', 'heart': '1914', 'heartCount': '1914', 'videoCount': '4'}, 'user': {'UserStoryStatus': 0, 'avatarLarger': 'https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-euttp/cd89b4f3c60db4082db0e94b20d7f823~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=3118b2b3&x-expires=1752894000&x-signature=bKlatiiKkDdx5bHiLTg4bgh7xTI%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarMedium': 'https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-euttp/cd89b4f3c60db4082db0e94b20d7f823~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=51449a67&x-expires=1752894000&x-signature=u3LJWWrboxieU%2Bc3G5d1YsJd4z8%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarThumb': 'https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-euttp/cd89b4f3c60db4082db0e94b20d7f823~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=cce42324&x-expires=1752894000&x-signature=vtyzlO1KXfTO%2F28YPtvYEGHAgzw%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'canExpPlaylist': True, 'commentSetting': 0, 'commerceUserInfo': {'commerceUser': False}, 'downloadSetting': 0, 'duetSetting': 0, 'followingVisibility': 1, 'ftc': False, 'id': '7446345974660793377', 'isADVirtual': False, 'isEmbedBanned': False, 'nickNameModifyTime': 1733738327, 'nickname': 'Durham University Engineering', 'openFavorite': False, 'privateAccount': False, 'profileEmbedPermission': 1, 'profileTab': {'showPlayListTab': False}, 'relation': 0, 'secUid': 'MS4wLjABAAAAUljPvzh4Fm7gUWplynYTYHmKkzp2E0WWd_v2pW0SbLp9HjrG4X8VnRYS_kR3dZCw', 'secret': False, 'signature': 'Durham University Department of Engineering\nThe world beyond the degree 🚀', 'stitchSetting': 0, 'ttSeller': False, 'uniqueId': 'duengineering', 'verified': False}}"
"{'fatal_item_ids': [], 'logid': '202507171114572FF22E9FAAE7EE3CA6E5', 'now': 1752722098000}",{'impr_id': '202507171114572FF22E9FAAE7EE3CA6E5'},"{'desc': '@yessicarcamo 2.6m Followers, 1065 Following, 172.2m Likes - Watch awesome short videos created by Yessica Carcamo', 'title': 'Yessica Carcamo on TikTok'}",0,0,,"{'stats': {'diggCount': 0, 'followerCount': 2600000, 'followingCount': 1065, 'friendCount': 289, 'heart': 172200000, 'heartCount': 172200000, 'videoCount': 5681}, 'statsV2': {'diggCount': '0', 'followerCount': '2563945', 'followingCount': '1065', 'friendCount': '289', 'heart': '172234234', 'heartCount': '172234234', 'videoCount': '5681'}, 'user': {'UserStoryStatus': 0, 'avatarLarger': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/c76d25aba6c0f5a0459b09513145446c~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=96da6a3d&x-expires=1752894000&x-signature=CIrApRspx%2F1ZSN9oMU6qrpFZ7Po%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarMedium': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/c76d25aba6c0f5a0459b09513145446c~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=8f55b73d&x-expires=1752894000&x-signature=anQo7MuFeJjQpPxUzyf1up3pxLA%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarThumb': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/c76d25aba6c0f5a0459b09513145446c~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=a3f52425&x-expires=1752894000&x-signature=g%2BvByjSFvAoqDg3tnr1Sgh35xr8%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'bioLink': {'link': 'https://www.instagram.com/yessicarcamo/profilecard/?igsh=MWk0eW10c2RpM2U1eQ==', 'risk': 0}, 'canExpPlaylist': True, 'commentSetting': 0, 'commerceUserInfo': {'commerceUser': False}, 'downloadSetting': 0, 'duetSetting': 3, 'followingVisibility': 2, 'ftc': False, 'id': '6710622829854278661', 'isADVirtual': False, 'isEmbedBanned': False, 'nickname': 'Yessica Carcamo', 'openFavorite': False, 'privateAccount': False, 'profileEmbedPermission': 1, 'profileTab': {'showPlayListTab': True, 'showQuestionTab': True}, 'relation': 0, 'secUid': 'MS4wLjABAAAAOdTxn6QPPvLCbw69qK2UMAf6hCzw-5bdg5VsA07rLuZ7CJp-xFMJdpsRh6sTenYm', 'secret': False, 'signature': 'DIOS es primero ♥️🙏🏻 \nSoy Ingeniero civil👷🏻\u200d♀️\nBemedia.publicidad@gmail.com', 'stitchSetting': 3, 'ttSeller': False, 'uniqueId': 'yessicarcamo', 'verified': False}}"
"{'fatal_item_ids': [], 'logid': '20250717111458027E778CD330293AE373', 'now': 1752722098000}",{'impr_id': '20250717111458027E778CD330293AE373'},"{'desc': '@esu.osut 458 Followers, 28 Following, 4293 Likes - Watch awesome short videos created by Engineering Summer University', 'title': 'Engineering Summer University on TikTok'}",0,0,,"{'stats': {'diggCount': 0, 'followerCount': 458, 'followingCount': 28, 'friendCount': 22, 'heart': 4293, 'heartCount': 4293, 'videoCount': 19}, 'statsV2': {'diggCount': '0', 'followerCount': '458', 'followingCount': '28', 'friendCount': '22', 'heart': '4293', 'heartCount': '4293', 'videoCount': '19'}, 'user': {'UserStoryStatus': 0, 'avatarLarger': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/8df239b11bc41757ae0b66bc5b4018fc~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=988b6673&x-expires=1752894000&x-signature=O5777%2B85BRVf8KUIsg%2B%2F3VSQJ4k%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarMedium': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/8df239b11bc41757ae0b66bc5b4018fc~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=d8577a8f&x-expires=1752894000&x-signature=5sqxvncPfmisIH%2BqvwxQWA7QoK0%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarThumb': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/8df239b11bc41757ae0b66bc5b4018fc~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=92f4e500&x-expires=1752894000&x-signature=SE98SBDgrQW8IHlgI%2BQIXZ6W2pk%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'canExpPlaylist': True, 'commentSetting': 0, 'commerceUserInfo': {'commerceUser': False}, 'downloadSetting': 0, 'duetSetting': 0, 'followingVisibility': 1, 'ftc': False, 'id': '7079791257387582470', 'isADVirtual': False, 'isEmbedBanned': False, 'nickNameModifyTime': 1740611733, 'nickname': 'Engineering Summer University', 'openFavorite': False, 'privateAccount': False, 'profileEmbedPermission': 1, 'profileTab': {'showPlayListTab': False}, 'relation': 0, 'secUid': 'MS4wLjABAAAAbkKQM_HBA-kL1BkPGB4XNqISPiOV5CYNzFAm5iDNuv0yOoAl480_g_xpsJSJ6lW4', 'secret': False, 'signature': '✨ Ești clasa a 11-a?✨\n🎀 Fă-ți vara memorabilă! Hai la ESU! 🎀', 'stitchSetting': 0, 'ttSeller': False, 'uniqueId': 'esu.osut', 'verified': False}}"
"{'fatal_item_ids': [], 'logid': '2025071711145815DCE1B27FB6CD3E4AA7', 'now': 1752722098000}",{'impr_id': '2025071711145815DCE1B27FB6CD3E4AA7'},"{'desc': '@engine_ering 223 Followers, 143 Following, 313 Likes - Watch awesome short videos created by Engineering', 'title': 'Engineering on TikTok'}",0,0,,"{'stats': {'diggCount': 0, 'followerCount': 223, 'followingCount': 143, 'friendCount': 76, 'heart': 313, 'heartCount': 313, 'videoCount': 55}, 'statsV2': {'diggCount': '0', 'followerCount': '223', 'followingCount': '143', 'friendCount': '76', 'heart': '313', 'heartCount': '313', 'videoCount': '55'}, 'user': {'UserStoryStatus': 0, 'avatarLarger': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7346001624852070405~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=bbcf015f&x-expires=1752894000&x-signature=UKAveVyRBeFRHDhMoiaosS2MJcM%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarMedium': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7346001624852070405~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=1f9ed989&x-expires=1752894000&x-signature=5WmNTYDh5j%2FF8nDzCgYVDokI%2BLk%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarThumb': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7346001624852070405~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=03387f93&x-expires=1752894000&x-signature=XDLfWP6LtSPcoqCHSrvO50ER81s%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'canExpPlaylist': True, 'commentSetting': 0, 'commerceUserInfo': {'commerceUser': False}, 'downloadSetting': 0, 'duetSetting': 0, 'followingVisibility': 1, 'ftc': False, 'id': '7346001450083943429', 'isADVirtual': False, 'isEmbedBanned': False, 'nickNameModifyTime': 1713188823, 'nickname': 'Engineering', 'openFavorite': False, 'privateAccount': False, 'profileEmbedPermission': 1, 'profileTab': {'showPlayListTab': False}, 'relation': 0, 'secUid': 'MS4wLjABAAAAJh7r-LdtPKsnEE4FWLMKN1QKoT-ephf2rwl0uA3RqImu9cFoQ100J0XNRe6UMBUS', 'secret': False, 'signature': '', 'stitchSetting': 0, 'ttSeller': False, 'uniqueId': 'engine_ering', 'verified': False}}"
"{'fatal_item_ids': [], 'logid': '20250717111458CEA8BA55C7B6AF3DE3E2', 'now': 1752722098000}",{'impr_id': '20250717111458CEA8BA55C7B6AF3DE3E2'},"{'desc': '@university4142 3533 Followers, 4938 Following, 2210 Likes - Watch awesome short videos created by University', 'title': 'University on TikTok'}",0,0,,"{'stats': {'diggCount': 0, 'followerCount': 3533, 'followingCount': 4938, 'friendCount': 2680, 'heart': 2210, 'heartCount': 2210, 'videoCount': 55}, 'statsV2': {'diggCount': '0', 'followerCount': '3533', 'followingCount': '4938', 'friendCount': '2680', 'heart': '2210', 'heartCount': '2210', 'videoCount': '55'}, 'user': {'UserStoryStatus': 0, 'avatarLarger': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/7354530034515705876~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=83fe01df&x-expires=1752894000&x-signature=dKXGM%2FhDVGzKJzBpCcyDm6VlEzc%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarMedium': 'https://p77-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/7354530034515705876~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=708f9dcb&x-expires=1752894000&x-signature=1Hhua8S9d%2B%2FzhTsnP%2FF57QJqa20%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarThumb': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/7354530034515705876~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=2965e4a4&x-expires=1752894000&x-signature=TalHmZT%2FSCLW4tmUWNad4b%2FTwu8%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'canExpPlaylist': True, 'commentSetting': 0, 'commerceUserInfo': {'commerceUser': False}, 'downloadSetting': 0, 'duetSetting': 0, 'followingVisibility': 1, 'ftc': False, 'id': '7350620045477790725', 'isADVirtual': False, 'isEmbedBanned': False, 'nickNameModifyTime': 1711449973, 'nickname': 'University', 'openFavorite': False, 'privateAccount': False, 'profileEmbedPermission': 1, 'profileTab': {'showPlayListTab': False}, 'relation': 0, 'secUid': 'MS4wLjABAAAA6_WZLq2fBgt4yId5TgimhuEbO2Xrtj_Q-ALAVUsggwDpsrBQGHBVvYrwxCj6kXd3', 'secret': False, 'signature': ""Games \nFollow me and I'll follow back＼(^_^)／\nゲームなど \nフォロー返します！#フォロバ"", 'stitchSetting': 0, 'ttSeller': False, 'uniqueId': 'university4142', 'verified': False}}"
"{'fatal_item_ids': [], 'logid': '20250717111458B2D431E9407A8F68AF98', 'now': 1752722098000}",{'impr_id': '20250717111458B2D431E9407A8F68AF98'},"{'desc': '@engineeringcouncil 2 Followers, 0 Following, 0 Likes - Watch awesome short videos created by Engineering Council', 'title': 'Engineering Council on TikTok'}",0,0,,"{'stats': {'diggCount': 0, 'followerCount': 2, 'followingCount': 0, 'friendCount': 0, 'heart': 0, 'heartCount': 0, 'videoCount': 0}, 'statsV2': {'diggCount': '0', 'followerCount': '2', 'followingCount': '0', 'friendCount': '0', 'heart': '0', 'heartCount': '0', 'videoCount': '0'}, 'user': {'UserStoryStatus': 0, 'avatarLarger': 'https://p16-common-sign-useastred.tiktokcdn-eu.com/tos-useast2a-avt-0068-euttp/38785e5e2ee86b82a6735560f2cf9ab0~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=7342b8f5&x-expires=1752894000&x-signature=orXZmqgY%2BfTyOdZKKwMYW9fLjxA%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarMedium': 'https://p16-common-sign-useastred.tiktokcdn-eu.com/tos-useast2a-avt-0068-euttp/38785e5e2ee86b82a6735560f2cf9ab0~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=9fb42f84&x-expires=1752894000&x-signature=bwCgL3dc6OMUbxTGfP0Lk6ug3MU%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarThumb': 'https://p16-common-sign-useastred.tiktokcdn-eu.com/tos-useast2a-avt-0068-euttp/38785e5e2ee86b82a6735560f2cf9ab0~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=52ddf196&x-expires=1752894000&x-signature=U8qbIVDeqGFLN9tgDGBRawUfKv8%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'canExpPlaylist': True, 'commentSetting': 0, 'commerceUserInfo': {'commerceUser': False}, 'downloadSetting': 0, 'duetSetting': 0, 'followingVisibility': 1, 'ftc': False, 'id': '7112797056841892865', 'isADVirtual': False, 'isEmbedBanned': False, 'nickNameModifyTime': 1702045976, 'nickname': 'Engineering Council', 'openFavorite': False, 'privateAccount': False, 'profileEmbedPermission': 1, 'profileTab': {'showPlayListTab': False}, 'relation': 0, 'secUid': 'MS4wLjABAAAAFWavh_pTkPSR-oZ2uTyW74Jq9Y98w0Jfm0FrfYE0EgN8hY1YOus8VPiqkKqdiT4j', 'secret': False, 'signature': 'The UK regulatory body for the engineering profession.', 'stitchSetting': 0, 'ttSeller': False, 'uniqueId': 'engineeringcouncil', 'verified': False}}"
"{'fatal_item_ids': [], 'logid': '2025071711145884E9107FA3DF9F6BA780', 'now': 1752722098000}",{'impr_id': '2025071711145884E9107FA3DF9F6BA780'},"{'desc': '@universal.enginee16 59 Followers, 1 Following, 183 Likes - Watch awesome short videos created by Universal Engineering Consult', 'title': 'Universal Engineering Consult on TikTok'}",0,0,,"{'stats': {'diggCount': 0, 'followerCount': 59, 'followingCount': 1, 'friendCount': 0, 'heart': 183, 'heartCount': 183, 'videoCount': 10}, 'statsV2': {'diggCount': '0', 'followerCount': '59', 'followingCount': '1', 'friendCount': '0', 'heart': '183', 'heartCount': '183', 'videoCount': '10'}, 'user': {'UserStoryStatus': 0, 'avatarLarger': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/89f27e14ce62d821379c69c923e1e49a~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=7c909a24&x-expires=1752894000&x-signature=9hcqW%2BvIf4iHXsMChdfqF1y1iZ4%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarMedium': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/89f27e14ce62d821379c69c923e1e49a~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=f6dcf3a0&x-expires=1752894000&x-signature=JIXtjItDPSayQMnVL8s1e1CLG%2Bs%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarThumb': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/89f27e14ce62d821379c69c923e1e49a~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=488f32b9&x-expires=1752894000&x-signature=xvmfdUKiO4IpEjed7AOiVz%2BS2H8%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'canExpPlaylist': True, 'commentSetting': 0, 'commerceUserInfo': {'commerceUser': False}, 'downloadSetting': 0, 'duetSetting': 0, 'followingVisibility': 1, 'ftc': False, 'id': '7212787503370978310', 'isADVirtual': False, 'isEmbedBanned': False, 'nickNameModifyTime': 1725899201, 'nickname': 'Universal Engineering Consult', 'openFavorite': False, 'privateAccount': False, 'profileEmbedPermission': 1, 'profileTab': {'showPlayListTab': False}, 'relation': 0, 'secUid': 'MS4wLjABAAAAgp1F2gOBhdOiqfkxfMPIMygN3D349x8oh1ms8ketIsSR-flPARjqXe3UNJhanVvU', 'secret': False, 'signature': '', 'stitchSetting': 0, 'ttSeller': False, 'uniqueId': 'universal.enginee16', 'verified': False}}"
"{'fatal_item_ids': [], 'logid': '2025071711145867A6C287DED3F23E3BAE', 'now': 1752722098000}",{'impr_id': '2025071711145867A6C287DED3F23E3BAE'},"{'desc': '@itu_miaji 1.4m Followers, 8 Following, 21.6m Likes - Watch awesome short videos created by 🌸 Itu Miaji 🌸', 'title': '🌸 Itu Miaji 🌸 on TikTok'}",0,0,,"{'stats': {'diggCount': 0, 'followerCount': 1400000, 'followingCount': 8, 'friendCount': 8, 'heart': 21600000, 'heartCount': 21600000, 'videoCount': 40}, 'statsV2': {'diggCount': '0', 'followerCount': '1440336', 'followingCount': '8', 'friendCount': '8', 'heart': '21621251', 'heartCount': '21621251', 'videoCount': '40'}, 'user': {'UserStoryStatus': 0, 'avatarLarger': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/8c4b56976c8f17ea6fbf9d9bdd0f8c51~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=2173f35d&x-expires=1752894000&x-signature=jZ5HmKj8GHi7AVNi%2FgyX8MkRa5c%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarMedium': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/8c4b56976c8f17ea6fbf9d9bdd0f8c51~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=d133e314&x-expires=1752894000&x-signature=s6F5Z958E%2BUlLSUD8tpolVxZSos%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarThumb': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/8c4b56976c8f17ea6fbf9d9bdd0f8c51~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=03bf2ecd&x-expires=1752894000&x-signature=57S47ECIL6eyRhM6VSzWJRn6c0g%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'canExpPlaylist': True, 'commentSetting': 0, 'commerceUserInfo': {'commerceUser': False}, 'downloadSetting': 3, 'duetSetting': 3, 'followingVisibility': 2, 'ftc': False, 'id': '6839166805220344834', 'isADVirtual': False, 'isEmbedBanned': False, 'nickname': '🌸 Itu Miaji 🌸', 'openFavorite': False, 'privateAccount': False, 'profileEmbedPermission': 1, 'profileTab': {'showPlayListTab': True, 'showQuestionTab': True}, 'relation': 0, 'secUid': 'MS4wLjABAAAAkwsFa9trmtact7ri5hYZAJ6flleRH8MmlCVKe9FgneP3ol248WawZEcP-nig3MBM', 'secret': False, 'signature': 'Hi!', 'stitchSetting': 3, 'ttSeller': False, 'uniqueId': 'itu_miaji', 'verified': True}}"
