username,nickname,signature,followers,following,likes,videos_count,is_verified,privateAccount
journalismclubuum,Journalism Club UUM,,31,0,517,36,False,False
bgctub_journalism_club,BGCTU Journalism Club,,20,2,18,2,False,False
usmdjournalismclub,USMD journalism club,Official tiktok account for the USMD Newspaper and journalism Club (TSMU) 📚,53,18,317,4,False,False
university.journalist,University Journalist,A wolf will never be  a pet🐺,145,1175,477,12,False,False
universityclubapts,University Club,"www.universityclubtulsa.com 
1722 S Carson Avenue 
Tulsa, OK 74119",120,22,4113,145,False,False
journalismclub00,JOURNALISM 📸 CLUB,,755,867,2430,17,False,False
lhsjournalismclub,lhsjournalismclub,,82,12,1386,1,False,False
journalism.club.g,journalism club Gitchez gals,,27,42,11,3,False,False
nujpakistan,National University Journalism,"For Admission Online Journalism Courses
0313-0419109",153,1,511,16,False,False
ku.chronicle,Journalism club,✒️ Home to Khalifa university's Journalism club,212,1,2335,26,False,False
utech.journalism,UTech Journalism Society,Student-led organization delving into all aspects of JOURNALISM💙 @ UTech Ja⚔️,61,2,348,9,False,False
university.journalist,University Journalist,A wolf will never be  a pet🐺,145,1175,477,12,False,False
bulsujournsoc,The BulSU Journalism Society,The official organization of the Journalism program under CAL.,67,0,2171,86,False,False
university4society,University4Society,"University4Society, girişimcilik ekosistemi 🚀
https://u4s.at/",10,10,22,10,False,False
solentjournalism,Solent University Journalists,,45,9,46,9,False,False
nujpakistan,National University Journalism,"For Admission Online Journalism Courses
0313-0419109",153,1,511,16,False,False
journalismsocietyrgu,JournalismSocietyRGU,"Building a community of journalists.
Very cutesy, very mindful, very demure",6,4,0,0,False,False
university4142,University,"Games 
Follow me and I'll follow back＼(^_^)／
ゲームなど 
フォロー返します！#フォロバ",3533,4938,2210,55,False,False
overtime_online,Brighton University journalism,"Visit www.overtimeonline.co.uk to see our articles, videos and podcasts",39,203,54,11,False,False
uniofsociety,Universityofsociety,For the people who believes in growth and constant personal development,3,1,10,3,False,False
iqra.university.student,University Students,,15000,17,270700,128,False,False
kohatuniversitystudent,Nadia khan 429670,,759,812,0,0,False,True
universitystudent38,University Student,"✨   Student Meme Page   ✨
 ✨    Academic Victims   ✨
    ✨3005/5000 Victims✨",2947,0,1600000,100,False,False
university_student,University_student,,137,0,0,0,False,False
universitystudent.0,𝓤𝓷𝒾𝓋ℯ𝓇𝒾𝓈𝓉𝓎 ℊ𝒾𝓇𝓁,𝑖 𝑎𝑚 𝑢𝑛𝑖𝑣𝑒𝑟𝑖𝑠𝑡𝑦 𝑠𝑡𝑢𝑑𝑒𝑛𝑡 𝑖𝑛 𝑝𝑎𝑘𝑖𝑠𝑡𝑎𝑛,2535,12,23700,68,False,False
user29abo_asad,university student,"كلية التربية (جامعه تكريت) 
علوم صرفة (قسم الرياضيات) 
(ابو اسد ❤)",8529,138,118600,266,False,False
university_student0,Hot,"I have a 30-year-old clothing factory in China.
call/WeChat：➕8613790609928",944,36,41,5,False,False
university_studen,university_student,,123,0,0,0,False,False
universitystudent27,universitystudent27,"19-year-old college student
I just want to train well.
Become excellent",196,26,1755,12,False,False
universitystudent,University Student,,91,69,0,0,False,False
student.media,Student media,,2,4,18,2,False,False
media.university,Media University,"Media University of Applied Sciences
BLN | CGN | FFM 🎓",1021,60,12800,229,False,False
tamnhostudentmedia,Student media 📷🌿,"Đặt lịch chụp tại fb ạ
Nguyệt Quế 8-03 Vinhomes - TP Thanh Hoá
0812612222",54000,14,3000000,123,False,False
iqra.university.student,University Students,,15000,17,270700,128,False,False
multimediauniversitysda,MULTIMEDIA UNIVERSITY SDA,"A home away from home.
Multimedia University SDA Church 😇
His will, His might",6925,43,81300,512,False,False
universitystudent38,University Student,"✨   Student Meme Page   ✨
 ✨    Academic Victims   ✨
    ✨3005/5000 Victims✨",2947,0,1600000,100,False,False
socialmediauniversity,Social Media University,มหาวิทยาลัยโลก,17000,85,76300,342,False,False
user29abo_asad,university student,"كلية التربية (جامعه تكريت) 
علوم صرفة (قسم الرياضيات) 
(ابو اسد ❤)",8529,138,118600,266,False,False
student.university6,STUDENT UNIVERSITY,"بكلوريوس مرحله ثانيه
مرحله ثانيه
العمر. 21",1070,1250,0,0,False,False
university.studen49,university students official,new account please  support,245,42,86,7,False,False
rmit_cogivui,RMIT & Sinh Viên Tương Lai,"✨ Welcome to RMIT!✨
Tháng 7 này RMIT có Hội thảo thông tin. Đăng ký tham gia👇🏻",81900,1,2100000,814,False,False
uat.mx,UAT,Universidad Autónoma de Tamaulipas,20100,2,2600000,349,True,False
