extra,log_pb,shareMeta,statusCode,status_code,status_msg,userInfo
"{'fatal_item_ids': [], 'logid': '202507171123322E678A1057AB2F6329C7', 'now': 1752722612000}",{'impr_id': '202507171123322E678A1057AB2F6329C7'},"{'desc': '@journalismclubuum 31 Followers, 0 Following, 517 Likes - Watch awesome short videos created by Journalism Club UUM', 'title': 'Journalism Club UUM on TikTok'}",0,0,,"{'stats': {'diggCount': 0, 'followerCount': 31, 'followingCount': 0, 'friendCount': 0, 'heart': 517, 'heartCount': 517, 'videoCount': 36}, 'statsV2': {'diggCount': '0', 'followerCount': '31', 'followingCount': '0', 'friendCount': '0', 'heart': '517', 'heartCount': '517', 'videoCount': '36'}, 'user': {'UserStoryStatus': 0, 'avatarLarger': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/825d9b605fde1700bf0677909a402713~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=57c14493&x-expires=1752894000&x-signature=4zxAmSZYclmRoMPz4kokM6khDw4%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarMedium': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/825d9b605fde1700bf0677909a402713~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=044d77cd&x-expires=1752894000&x-signature=jpISJ6PL1m61GMLN4ziZl6rWxTA%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarThumb': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/825d9b605fde1700bf0677909a402713~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=dfb86406&x-expires=1752894000&x-signature=ZkjmqccJY2a%2FHdzY7Q2F7PhOwFQ%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'canExpPlaylist': True, 'commentSetting': 0, 'commerceUserInfo': {'commerceUser': False}, 'downloadSetting': 0, 'duetSetting': 0, 'followingVisibility': 1, 'ftc': False, 'id': '7109433316377494554', 'isADVirtual': False, 'isEmbedBanned': False, 'nickNameModifyTime': 1701258297, 'nickname': 'Journalism Club UUM', 'openFavorite': False, 'privateAccount': False, 'profileEmbedPermission': 1, 'profileTab': {'showPlayListTab': False}, 'relation': 0, 'secUid': 'MS4wLjABAAAA-M8WrJizA_HQLm6JnCyRtc0yAj14N1Fi5KSP5W_9yCWnJwgTyx1wC6FIqBXVv3CF', 'secret': False, 'signature': '', 'stitchSetting': 0, 'ttSeller': False, 'uniqueId': 'journalismclubuum', 'verified': False}}"
"{'fatal_item_ids': [], 'logid': '202507171123322E678A1057AB2F6329CE', 'now': 1752722612000}",{'impr_id': '202507171123322E678A1057AB2F6329CE'},"{'desc': '@bgctub_journalism_club 20 Followers, 2 Following, 18 Likes - Watch awesome short videos created by BGCTU Journalism Club', 'title': 'BGCTU Journalism Club on TikTok'}",0,0,,"{'stats': {'diggCount': 0, 'followerCount': 20, 'followingCount': 2, 'friendCount': 0, 'heart': 18, 'heartCount': 18, 'videoCount': 2}, 'statsV2': {'diggCount': '0', 'followerCount': '20', 'followingCount': '2', 'friendCount': '0', 'heart': '18', 'heartCount': '18', 'videoCount': '2'}, 'user': {'UserStoryStatus': 0, 'avatarLarger': 'https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-giso/a383823419256f4252f03a0af3e4cd6b~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=29d87624&x-expires=1752894000&x-signature=84C4biJMbXdDfcslwql%2B5BJjEU0%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarMedium': 'https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-giso/a383823419256f4252f03a0af3e4cd6b~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=7755abda&x-expires=1752894000&x-signature=BC0u5ArYMByCPJ1y3CHZGiLQ534%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarThumb': 'https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-giso/a383823419256f4252f03a0af3e4cd6b~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=d7835044&x-expires=1752894000&x-signature=oxouTvyWwg6aT4jQtB96DBLMkxQ%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'canExpPlaylist': True, 'commentSetting': 0, 'commerceUserInfo': {'commerceUser': False}, 'downloadSetting': 0, 'duetSetting': 0, 'followingVisibility': 1, 'ftc': False, 'id': '6991141211223475227', 'isADVirtual': False, 'isEmbedBanned': False, 'nickNameModifyTime': 1669585155, 'nickname': 'BGCTU Journalism Club', 'openFavorite': False, 'privateAccount': False, 'profileEmbedPermission': 1, 'profileTab': {'showPlayListTab': False}, 'relation': 0, 'secUid': 'MS4wLjABAAAARiKQt1Qnu_87asJODYn2nlhB3BAE87_nXQgmH6Qj3MNgm-6acwTBwIbZQM0yOUEV', 'secret': False, 'signature': '', 'stitchSetting': 0, 'ttSeller': False, 'uniqueId': 'bgctub_journalism_club', 'verified': False}}"
"{'fatal_item_ids': [], 'logid': '20250717112332B40028285B60EB64756E', 'now': 1752722612000}",{'impr_id': '20250717112332B40028285B60EB64756E'},"{'desc': '@usmdjournalismclub 53 Followers, 18 Following, 317 Likes - Watch awesome short videos created by USMD journalism club', 'title': 'USMD journalism club on TikTok'}",0,0,,"{'stats': {'diggCount': 0, 'followerCount': 53, 'followingCount': 18, 'friendCount': 14, 'heart': 317, 'heartCount': 317, 'videoCount': 4}, 'statsV2': {'diggCount': '0', 'followerCount': '53', 'followingCount': '18', 'friendCount': '14', 'heart': '317', 'heartCount': '317', 'videoCount': '4'}, 'user': {'UserStoryStatus': 0, 'avatarLarger': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/1b7c84d466228d3ed10733fdca0bd281~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=479550ee&x-expires=1752894000&x-signature=RhcAf8uZpkFMOV7PwTOFcKEhc%2BE%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarMedium': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/1b7c84d466228d3ed10733fdca0bd281~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=d8fefffe&x-expires=1752894000&x-signature=Y4OJACLun25XKfRK7cBDpNuIXA4%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarThumb': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/1b7c84d466228d3ed10733fdca0bd281~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=8133d095&x-expires=1752894000&x-signature=ID1%2BXUyPqFiAKHMz24Y9hbboecM%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'canExpPlaylist': True, 'commentSetting': 0, 'commerceUserInfo': {'commerceUser': False}, 'downloadSetting': 0, 'duetSetting': 0, 'followingVisibility': 1, 'ftc': False, 'id': '7122472907921523717', 'isADVirtual': False, 'isEmbedBanned': False, 'nickNameModifyTime': 1658832772, 'nickname': 'USMD journalism club', 'openFavorite': False, 'privateAccount': False, 'profileEmbedPermission': 1, 'profileTab': {'showPlayListTab': False}, 'relation': 0, 'secUid': 'MS4wLjABAAAAtif_lm0vrYP6Eu-d3cpu4wk_ZOcbtOHjlDwH63NQWXLvYTsgmbyJ_IwUYROKtuAS', 'secret': False, 'signature': 'Official tiktok account for the USMD Newspaper and journalism Club (TSMU) 📚', 'stitchSetting': 0, 'ttSeller': False, 'uniqueId': 'usmdjournalismclub', 'verified': False}}"
"{'fatal_item_ids': [], 'logid': '2025071711233266C70687DBD909640F2F', 'now': 1752722612000}",{'impr_id': '2025071711233266C70687DBD909640F2F'},"{'desc': '@university.journalist 145 Followers, 1175 Following, 477 Likes - Watch awesome short videos created by University Journalist', 'title': 'University Journalist on TikTok'}",0,0,,"{'stats': {'diggCount': 0, 'followerCount': 145, 'followingCount': 1175, 'friendCount': 88, 'heart': 477, 'heartCount': 477, 'videoCount': 12}, 'statsV2': {'diggCount': '0', 'followerCount': '145', 'followingCount': '1175', 'friendCount': '88', 'heart': '477', 'heartCount': '477', 'videoCount': '12'}, 'user': {'UserStoryStatus': 0, 'avatarLarger': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/039813f8fc39a3b413996883eb661ed8~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=ff97117b&x-expires=1752894000&x-signature=h7LNgdtw3pgCAHbgE3j08Krtpu0%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarMedium': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/039813f8fc39a3b413996883eb661ed8~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=36b43b36&x-expires=1752894000&x-signature=S%2FNqke7mHT0Fz%2BKtAnlbbmiLdjU%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarThumb': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/039813f8fc39a3b413996883eb661ed8~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=a5986dcd&x-expires=1752894000&x-signature=Jqudb3Jl7%2BLGibwPQeXZ8w9LiZo%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'canExpPlaylist': True, 'commentSetting': 0, 'commerceUserInfo': {'commerceUser': False}, 'downloadSetting': 3, 'duetSetting': 0, 'followingVisibility': 1, 'ftc': False, 'id': '7351302082957788165', 'isADVirtual': False, 'isEmbedBanned': False, 'nickNameModifyTime': 1732371478, 'nickname': 'University Journalist', 'openFavorite': False, 'privateAccount': False, 'profileEmbedPermission': 1, 'profileTab': {'showPlayListTab': False}, 'relation': 0, 'secUid': 'MS4wLjABAAAA6YBKiGJAGNSwz0r6pHk8WIX8UzEpYIdVM-6EAEIWmwYqjGItMWJJBorLr7k6Ssf6', 'secret': False, 'signature': 'A wolf will never be  a pet🐺', 'stitchSetting': 0, 'ttSeller': False, 'uniqueId': 'university.journalist', 'verified': False}}"
"{'fatal_item_ids': [], 'logid': '2025071711233332D372627D2C4767B978', 'now': 1752722613000}",{'impr_id': '2025071711233332D372627D2C4767B978'},"{'desc': '@universityclubapts 120 Followers, 22 Following, 4113 Likes - Watch awesome short videos created by University Club', 'title': 'University Club on TikTok'}",0,0,,"{'stats': {'diggCount': 0, 'followerCount': 120, 'followingCount': 22, 'friendCount': 13, 'heart': 4113, 'heartCount': 4113, 'videoCount': 145}, 'statsV2': {'diggCount': '0', 'followerCount': '120', 'followingCount': '22', 'friendCount': '13', 'heart': '4113', 'heartCount': '4113', 'videoCount': '145'}, 'user': {'UserStoryStatus': 0, 'avatarLarger': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/11f32bc91e5e95dace903c7ceb421fe7~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=9a1442ac&x-expires=1752894000&x-signature=W7E3wzS5Wt6AYVhzcwkBOZhpwL4%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarMedium': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/11f32bc91e5e95dace903c7ceb421fe7~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=461b33af&x-expires=1752894000&x-signature=5KGs2eQZDcmmS%2FLxi4aqw7O0mkc%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarThumb': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/11f32bc91e5e95dace903c7ceb421fe7~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=76236a88&x-expires=1752894000&x-signature=Zvs5f7hd9s9cXLGz7Ny%2B8NzCRdI%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'canExpPlaylist': True, 'commentSetting': 0, 'commerceUserInfo': {'category': 'Real Estate', 'categoryButton': False, 'commerceUser': True}, 'downloadSetting': 0, 'duetSetting': 0, 'followingVisibility': 1, 'ftc': False, 'id': '7026826533696963590', 'isADVirtual': False, 'isEmbedBanned': False, 'nickNameModifyTime': 1689695076, 'nickname': 'University Club', 'openFavorite': False, 'privateAccount': False, 'profileEmbedPermission': 1, 'profileTab': {'showPlayListTab': False}, 'relation': 0, 'secUid': 'MS4wLjABAAAAf0PhAqBti3nUXoip4R6g8-EF_fi1sJwwohJsO2jOHEpOiU2ufI8gYVQKGXfWMrcx', 'secret': False, 'signature': 'www.universityclubtulsa.com \n1722 S Carson Avenue \nTulsa, OK 74119', 'stitchSetting': 0, 'ttSeller': False, 'uniqueId': 'universityclubapts', 'verified': False}}"
"{'fatal_item_ids': [], 'logid': '20250717112333620FBCCB7F8F65640F70', 'now': 1752722613000}",{'impr_id': '20250717112333620FBCCB7F8F65640F70'},"{'desc': '@journalismclub00 755 Followers, 867 Following, 2430 Likes - Watch awesome short videos created by JOURNALISM 📸 CLUB', 'title': 'JOURNALISM 📸 CLUB on TikTok'}",0,0,,"{'stats': {'diggCount': 7362, 'followerCount': 755, 'followingCount': 867, 'friendCount': 376, 'heart': 2430, 'heartCount': 2430, 'videoCount': 17}, 'statsV2': {'diggCount': '7362', 'followerCount': '755', 'followingCount': '867', 'friendCount': '376', 'heart': '2430', 'heartCount': '2430', 'videoCount': '17'}, 'user': {'UserStoryStatus': 0, 'avatarLarger': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/a41d7b788d906e437efbefe0a2e19af5~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=a9970917&x-expires=1752894000&x-signature=JS8PxPSAWzaM9tZXDru9ljA3nLo%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarMedium': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/a41d7b788d906e437efbefe0a2e19af5~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=e5174198&x-expires=1752894000&x-signature=TW09UhigFUQ5442Snp0cS4%2FYYvY%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarThumb': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/a41d7b788d906e437efbefe0a2e19af5~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=16fd2ad3&x-expires=1752894000&x-signature=Ztsrmye9u16oG%2BMVaNiPueBc1tQ%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'canExpPlaylist': True, 'commentSetting': 0, 'commerceUserInfo': {'category': 'Public Administration', 'categoryButton': False, 'commerceUser': True}, 'downloadSetting': 0, 'duetSetting': 0, 'followingVisibility': 1, 'ftc': False, 'id': '7196135981875315718', 'isADVirtual': False, 'isEmbedBanned': False, 'nickNameModifyTime': 1750589669, 'nickname': 'JOURNALISM 📸 CLUB', 'openFavorite': True, 'privateAccount': False, 'profileEmbedPermission': 1, 'profileTab': {'showPlayListTab': False}, 'relation': 0, 'secUid': 'MS4wLjABAAAAurjJ6nuYng0o8T-7O03Rr6Xb8VTUs-epy2hCmzYA7euvV0H9tmBSLqNG_PJK04CK', 'secret': False, 'signature': '', 'stitchSetting': 0, 'ttSeller': False, 'uniqueId': 'journalismclub00', 'uniqueIdModifyTime': 1750589762, 'verified': False}}"
"{'fatal_item_ids': [], 'logid': '20250717112333E37D9EA3C41CDD660AC0', 'now': 1752722613000}",{'impr_id': '20250717112333E37D9EA3C41CDD660AC0'},"{'desc': '@lhsjournalismclub 82 Followers, 12 Following, 1386 Likes - Watch awesome short videos created by lhsjournalismclub', 'title': 'lhsjournalismclub on TikTok'}",0,0,,"{'stats': {'diggCount': 0, 'followerCount': 82, 'followingCount': 12, 'friendCount': 11, 'heart': 1386, 'heartCount': 1386, 'videoCount': 1}, 'statsV2': {'diggCount': '0', 'followerCount': '82', 'followingCount': '12', 'friendCount': '11', 'heart': '1386', 'heartCount': '1386', 'videoCount': '1'}, 'user': {'UserStoryStatus': 0, 'avatarLarger': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/777419199d49f9e7ab0fbec99fde3d53~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=b8c07589&x-expires=1752894000&x-signature=xzdUX8JnxFLVZM3OOeENS01kv%2Bo%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarMedium': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/777419199d49f9e7ab0fbec99fde3d53~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=1bbe0597&x-expires=1752894000&x-signature=2QFPHtak%2F16zGCxuYV8hGO12Vgc%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarThumb': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/777419199d49f9e7ab0fbec99fde3d53~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=e246dd55&x-expires=1752894000&x-signature=48MWuv0zNhYfAGWGQrvjSerwadA%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'canExpPlaylist': True, 'commentSetting': 0, 'commerceUserInfo': {'commerceUser': False}, 'downloadSetting': 0, 'duetSetting': 0, 'followingVisibility': 1, 'ftc': False, 'id': '7413481282011399214', 'isADVirtual': False, 'isEmbedBanned': False, 'nickNameModifyTime': 1726085755, 'nickname': 'lhsjournalismclub', 'openFavorite': False, 'privateAccount': False, 'profileEmbedPermission': 1, 'profileTab': {'showPlayListTab': False}, 'relation': 0, 'secUid': 'MS4wLjABAAAAOv-ZID6GOlTyylUVtnlYThtsvg1iZAdX2mxG7YxnN8uZBb61GbddbQzZXbjBgnG4', 'secret': False, 'signature': '', 'stitchSetting': 0, 'ttSeller': False, 'uniqueId': 'lhsjournalismclub', 'verified': False}}"
"{'fatal_item_ids': [], 'logid': '20250717112333C7321125F123F965659B', 'now': 1752722613000}",{'impr_id': '20250717112333C7321125F123F965659B'},"{'desc': '@journalism.club.g 27 Followers, 42 Following, 11 Likes - Watch awesome short videos created by journalism club Gitchez gals', 'title': 'journalism club Gitchez gals on TikTok'}",0,0,,"{'stats': {'diggCount': 0, 'followerCount': 27, 'followingCount': 42, 'friendCount': 20, 'heart': 11, 'heartCount': 11, 'videoCount': 3}, 'statsV2': {'diggCount': '0', 'followerCount': '27', 'followingCount': '42', 'friendCount': '20', 'heart': '11', 'heartCount': '11', 'videoCount': '3'}, 'user': {'UserStoryStatus': 0, 'avatarLarger': 'https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1594805258216454~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=af10e77a&x-expires=1752894000&x-signature=RFtcov%2Fb8Bu7i75hnyUr0GMnCaQ%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarMedium': 'https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1594805258216454~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=453ec262&x-expires=1752894000&x-signature=yG2U0WK30PlCId0SvhWlT6TdSUc%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarThumb': 'https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1594805258216454~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=011b9208&x-expires=1752894000&x-signature=9cAKohtoUEc9PMmniHkn1R3x9mc%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'canExpPlaylist': True, 'commentSetting': 0, 'commerceUserInfo': {'commerceUser': False}, 'downloadSetting': 3, 'duetSetting': 1, 'followingVisibility': 1, 'ftc': False, 'id': '7110309610414785541', 'isADVirtual': False, 'isEmbedBanned': False, 'nickNameModifyTime': 1711642254, 'nickname': 'journalism club Gitchez gals', 'openFavorite': False, 'privateAccount': False, 'profileEmbedPermission': 3, 'profileTab': {'showPlayListTab': False}, 'relation': 0, 'secUid': 'MS4wLjABAAAACfwmScG7KROA-Zvbcx89uIahVmrEvifotK2QAfnQe7C7AdR0BbsSMmxF46OqZoIe', 'secret': False, 'signature': '', 'stitchSetting': 1, 'ttSeller': False, 'uniqueId': 'journalism.club.g', 'verified': False}}"
"{'fatal_item_ids': [], 'logid': '20250717112333AD43BD8DA5259364B4D6', 'now': 1752722614000}",{'impr_id': '20250717112333AD43BD8DA5259364B4D6'},"{'desc': '@nujpakistan 153 Followers, 1 Following, 511 Likes - Watch awesome short videos created by National University Journalism', 'title': 'National University Journalism on TikTok'}",0,0,,"{'stats': {'diggCount': 0, 'followerCount': 153, 'followingCount': 1, 'friendCount': 1, 'heart': 511, 'heartCount': 511, 'videoCount': 16}, 'statsV2': {'diggCount': '0', 'followerCount': '153', 'followingCount': '1', 'friendCount': '1', 'heart': '511', 'heartCount': '511', 'videoCount': '16'}, 'user': {'UserStoryStatus': 0, 'avatarLarger': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/62211474bf84e69b2f9045835d4ff903~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=680ffbec&x-expires=1752894000&x-signature=auaXR0TL%2BorlsIWrAODzNlT%2BBCg%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarMedium': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/62211474bf84e69b2f9045835d4ff903~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=adadd347&x-expires=1752894000&x-signature=fuDxiJc3Sm1bwVX3qgRp53rwrys%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarThumb': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/62211474bf84e69b2f9045835d4ff903~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=befde686&x-expires=1752894000&x-signature=Vkp7BYxs8I1iW06duXF13%2B9f1LE%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'canExpPlaylist': True, 'commentSetting': 0, 'commerceUserInfo': {'category': 'Education & Training', 'categoryButton': False, 'commerceUser': True}, 'downloadSetting': 0, 'duetSetting': 0, 'followingVisibility': 1, 'ftc': False, 'id': '7492036851856065543', 'isADVirtual': False, 'isEmbedBanned': False, 'nickNameModifyTime': 1749483541, 'nickname': 'National University Journalism', 'openFavorite': False, 'privateAccount': False, 'profileEmbedPermission': 1, 'profileTab': {'showPlayListTab': False}, 'relation': 0, 'secUid': 'MS4wLjABAAAAwnZkmR8arT1evqCz1yrXiextI6NnrvdxgC9vJvfhzmcJyEbNTK2x4rsC0PPgUjp5', 'secret': False, 'signature': 'For Admission Online Journalism Courses\n0313-0419109', 'stitchSetting': 0, 'ttSeller': False, 'uniqueId': 'nujpakistan', 'verified': False}}"
"{'fatal_item_ids': [], 'logid': '20250717112334EAA03F19D2240466B334', 'now': 1752722614000}",{'impr_id': '20250717112334EAA03F19D2240466B334'},"{'desc': '@ku.chronicle 212 Followers, 1 Following, 2335 Likes - Watch awesome short videos created by Journalism club', 'title': 'Journalism club on TikTok'}",0,0,,"{'stats': {'diggCount': 0, 'followerCount': 212, 'followingCount': 1, 'friendCount': 0, 'heart': 2335, 'heartCount': 2335, 'videoCount': 26}, 'statsV2': {'diggCount': '0', 'followerCount': '212', 'followingCount': '1', 'friendCount': '0', 'heart': '2335', 'heartCount': '2335', 'videoCount': '26'}, 'user': {'UserStoryStatus': 0, 'avatarLarger': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/5fae029cc367fb11b3c4ff091bfc4577~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=ef8a7183&x-expires=1752894000&x-signature=c4alMjDOlcucKN6SFjklYgN0ua0%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarMedium': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/5fae029cc367fb11b3c4ff091bfc4577~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=d6c272b1&x-expires=1752894000&x-signature=EWC2OFYFmOT5IH5MysbvamclFyQ%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarThumb': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/5fae029cc367fb11b3c4ff091bfc4577~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=9d5701a1&x-expires=1752894000&x-signature=7xSw7fU87YY7A9CuOMNEvkcfkW0%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'canExpPlaylist': True, 'commentSetting': 0, 'commerceUserInfo': {'category': 'Media & Entertainment', 'categoryButton': False, 'commerceUser': True}, 'downloadSetting': 0, 'duetSetting': 0, 'followingVisibility': 1, 'ftc': False, 'id': '7156592023066969093', 'isADVirtual': False, 'isEmbedBanned': False, 'nickNameModifyTime': 1706616870, 'nickname': 'Journalism club', 'openFavorite': False, 'privateAccount': False, 'profileEmbedPermission': 1, 'profileTab': {'showPlayListTab': False}, 'relation': 0, 'secUid': 'MS4wLjABAAAAOseWlwaSxtPODUjnUuJ1F529o2MMh0SAm1mW8LKqL4Tje1yUywnQyvGIicAxtnUy', 'secret': False, 'signature': ""✒️ Home to Khalifa university's Journalism club"", 'stitchSetting': 0, 'ttSeller': False, 'uniqueId': 'ku.chronicle', 'verified': False}}"
