username,nickname,signature,followers,following,likes,videos_count,is_verified,privateAccount
business_university84,🔥💎BUSINESS UNIVERSITY💎🔥,"Dein Erfolg wartet🔥
Schreib mich an👨‍💻
Wir finden den genauen kurs für dich📈",117,279,2092,73,False,False
misscosmo.unimedia,Miss Cosmo,"Official account of Miss Cosmo 
For work: sales@unimediasg.vn",361800,23,23200000,1762,True,False
cpstudentorganization,CP Student Organization,instagram:carleplacestudentorganization,1152,14,53500,60,False,False
university_student,University_student,,137,0,0,0,False,False
iqra.university.student,University Students,,15000,17,270700,128,False,False
universitystudent38,University Student,"✨   Student Meme Page   ✨
 ✨    Academic Victims   ✨
    ✨3005/5000 Victims✨",2947,0,1600000,100,False,False
nuts241,Student organization,คณะกรรมการองค์กรนักศึกษา สกร.ระดับเขตห้วยขวาง,482,87,15600,23,False,False
business_university_,business.university,DM moi sur insta pour faire de l’argent🚀,27,12,391,9,False,False
university_bu,Business University,"https://discord.gg/dUyKxX6Ybp
www.cutt.ly/fCGpXic
Get rich Now! 
     ⏬",1170,8176,106,15,False,False
university_studen,university_student,,123,0,0,0,False,False
ubc_pte,University Business Club - PTE,"🔴 Shape the FUTURE🔴
⚫ Lead the BUSINESS⚫
⚪Together at UBC⚪
 www.ubc-pte.hu",139,10,9579,36,False,False
university.busine,University Business Club - BGE,,1,1,0,0,False,False
bunny.university,user74988273802,No bio yet,1300000,36,26600000,107,True,False
business_university84,🔥💎BUSINESS UNIVERSITY💎🔥,"Dein Erfolg wartet🔥
Schreib mich an👨‍💻
Wir finden den genauen kurs für dich📈",117,279,2092,73,False,False
business.club.1,Business Club 💸🎓,,18,1,353,0,False,True
businessuniversityplus,Business University Plus,"Learn How Business Works. Build a Company. Grow a Company. 💎✨️
Begin Now 🌏✨️",28,0,225,72,False,False
acledauniversitybusiness,ACLEDA University of Business,The University for your Successful Professional Career.,3450,3,29900,364,False,False
buisnessuniversity,BuisnessUniversity,"Si quieres cambiar tu vida envíame un DM""campus""🙏🏼🏆

No dudes más 👇🏼👇🏼",84000,8,4700000,341,False,False
business_university_,business.university,DM moi sur insta pour faire de l’argent🚀,27,12,391,9,False,False
world_business_uni,Real Business University,"Sign up for EBU! 
➡️https://www.evil.university/a/2147526182/Bu4cGFgk",110,4,8330,4,False,False
subsoc,Sydney Uni Business Society,Official faculty society for the University of Sydney Business School 📖,486,8,274600,73,False,False
ubs_business.society,UniSA Business Society,https://linktr.ee/unisa_marketing_club,25,5,797,24,False,False
businessstudentsociety,BSS AUB,"Where AUB's future pride unite 🕺🏻🕺🏻
🔗CRN:5014",146,0,1403,10,False,False
iqra.university.student,University Students,,15000,17,270700,128,False,False
university_student,University_student,,137,0,0,0,False,False
njatlhgblo8,Nadjet,"طرق مذاكرة و نصائح 
معلومات دينية
 عامة ثقافية
علوم  بيولوجيا طب 👩🏻‍🔬👩🏻‍⚕️",32,0,654,18,False,False
bunerstudentsociety,Buner Student Society H.U,"Buner_Student_Society 
  Hazara_University_Mansehra..❤️❤️",94,41,1588,73,False,False
universitystudent38,University Student,"✨   Student Meme Page   ✨
 ✨    Academic Victims   ✨
    ✨3005/5000 Victims✨",2947,0,1600000,100,False,False
user29abo_asad,university student,"كلية التربية (جامعه تكريت) 
علوم صرفة (قسم الرياضيات) 
(ابو اسد ❤)",8529,138,118600,266,False,False
acledauniversitybusiness,ACLEDA University of Business,The University for your Successful Professional Career.,3450,3,29900,364,False,False
usabusinessassociation,usabusinessassociation,,24,13,55,6,False,False
ubs_business.society,UniSA Business Society,https://linktr.ee/unisa_marketing_club,25,5,797,24,False,False
uapbea,Business Economics Association,"Academic organization of UA&P’s Industrial Economics Program
— est. 2001",57,3,341,14,False,False
business_university84,🔥💎BUSINESS UNIVERSITY💎🔥,"Dein Erfolg wartet🔥
Schreib mich an👨‍💻
Wir finden den genauen kurs für dich📈",117,279,2092,73,False,False
acledauniversitybusiness,ACLEDA University of Business,The University for your Successful Professional Career.,3450,3,29900,364,False,False
association.business,ASSOCIATION.BUSINESS,Treinador e palestras em desenvolvimento humano de automotivação.,190,1238,24,7,False,False
business_university_,business.university,DM moi sur insta pour faire de l’argent🚀,27,12,391,9,False,False
libby.business.as,Libby Business Association,"Libby Area Business Association is a 501 c 3, community focused.",253,444,347,50,False,False
businessuniversityplus,Business University Plus,"Learn How Business Works. Build a Company. Grow a Company. 💎✨️
Begin Now 🌏✨️",28,0,225,72,False,False
businessuniversity,Business University,"MOTIVATION | SUCCESS
more coming soon 🔋",12,0,241,8,False,False
universityfraternity,University_fraternity_,,7,0,3,1,False,False
