username,nickname,signature,followers,following,likes,videos_count,is_verified,privateAccount
unimelb_health,@unimelb health students,@unimelb students helping tiktok stay healthy,100400,31,3800000,367,False,False
rmit_cogivui,RMIT & Sinh Viên Tương Lai,"✨ Welcome to RMIT!✨
Tháng 7 này RMIT có Hội thảo thông tin. Đăng ký tham gia👇🏻",81900,1,2100000,814,False,False
hoisinhvienvietnam,Hội Sinh Viên Việt Nam,🕊️ Chào mừng Đại hội đại biểu toàn quốc Hội Sinh viên Việt Nam lần thứ XI 🕊️,7473,1,88600,410,True,False
gmukurds,Kurdish Student Organization,"Kurdish Student Organization (KSO) at George Mason University 
❤️☀️💚",800,28,7443,21,False,False
studentorganization.npru,องค์การนักศึกษามรน. NPRU,"Instagram : so.npru
Page Facebook: องค์การนักศึกษามหาวิทยาลัยราชภัฏนครปฐม",672,31,8055,7,False,False
studentorganizationskpru,studentorganizationskpru,,604,6,14300,20,False,False
khalilstudentorg,khalilstudentorganization,"خاورہ چہ زما دہ نو اختیار بہ ھم زما وی

کار بہ ھم زما وی لار بہ ھم زما وی",1757,5,46300,423,False,False
nuts241,Student organization,คณะกรรมการองค์กรนักศึกษา สกร.ระดับเขตห้วยขวาง,482,86,15600,23,False,False
khalilstudentsorg0,khalilstudentsorganization,,8031,13,193600,62,False,False
aup_student_organization,AUP STUDENTS ORGANIZATION,AUP STUDENTS ORGANIZATION,143,6,3783,37,False,False
universityclubapts,University Club,"www.universityclubtulsa.com 
1722 S Carson Avenue 
Tulsa, OK 74119",120,22,4113,145,False,False
melbourneunicricket,Melbourne University CC,"Part of Victorian Premier Cricket 🏏

Our socials 🎥 ⬇️",17400,80,748600,380,False,False
pumasmx,PumasMX,"Cuenta oficial del Club Universidad Nacional. ¡México, Pumas, Universidad!",831300,63,14900000,1046,True,False
moiuniversitygossipclub,MOI UNIVERSITY GOSSIP CLUB,FOLLOW OUR WHATSAPP channelhttps://whatsapp.com/channel/0029VaaSTiF8PgsQn25sXK1I,18500,0,210900,279,False,False
uybclub,University of York Boat Club,"Follow us on insta 📸
Est. 1963
@University of York",813,112,26800,59,False,False
huskateclub,Howard University Skate Club,"let them black kids be who they be
@huskateclub on insta !!",2762,2,83400,4,False,False
unibeautyclub2025,University Club,Clean beauty & wellness products. Shop safe. Feel radiant,1053,356,111,1,False,False
