TikTokApi.user(username='unimelb_health', user_id='None', sec_uid='MS4wLjABAAAAx8yiKat4GnEX4a60TNzSkX1w1b8oi6S5HbZtDM2YVOHrtoBAJnNzm5l1zZmLX51-')
TikTokApi.user(username='majubersamaosis', user_id='None', sec_uid='MS4wLjABAAAAAeVqFKbcNQmIdwWCQR6r_0hD40D7jLxIfWZVTPqpYjGWUNN8l0xzGZ-JFXwIFoeq')
TikTokApi.user(username='hoisinhvienvietnam', user_id='None', sec_uid='MS4wLjABAAAA1auZndQp2mOEk1y328_cfNaCALvOUMSE6-yjHv2aC1fl34UGqpVwm1bJo6t4wUXu')
TikTokApi.user(username='khalilstudentorg', user_id='None', sec_uid='MS4wLjABAAAAgG2SjP5hEVzeO5E4XxTQTmXZQJivIU2qzhIkicJJT-vm92fV6jznhBohBrCdu6V1')
TikTokApi.user(username='nuts241', user_id='None', sec_uid='MS4wLjABAAAA6eyAJWwoZxIyWeecNn9WzZQUvL66PYspJ3G-RI4lmVNOKqx52Q68xgksxWjCxjbt')
TikTokApi.user(username='studentorganizationskpru', user_id='None', sec_uid='MS4wLjABAAAA0jngkIB8vj1GNBH858zub6ULQyOI2AaxIYZ86FzgF1LB5YdBhbcGZ0qbs8P9WadS')
TikTokApi.user(username='studentorganization.npru', user_id='None', sec_uid='MS4wLjABAAAAsPm0l5CRQblrrFZ2O36OaFmOsVhCy07Xvo8rOSyHHSOwMnVj-3txn2lv63ZTm3L9')
TikTokApi.user(username='sro_swat1', user_id='None', sec_uid='MS4wLjABAAAAVWHRjjD9JlgKzF-geZ9TAEKK1h9AgtNXxIHN5cTl9gHr5YjzKZnpgl4dchEP3Bwh')
TikTokApi.user(username='yso_official1', user_id='None', sec_uid='MS4wLjABAAAA5PJd3kcVmIp7nOl-48VuE-7vh1qxQ_xUhlAz5iM4vt8vMwHJkb7BdHDHuGMUKFZJ')
TikTokApi.user(username='khalilstudentsorg0', user_id='None', sec_uid='MS4wLjABAAAAGzEoMi6nlMns_nQoYeeNLJ8kN18Ixmiq7HQRvl0nj4bPyXRRYYrMOz5VHkRaRU_4')
TikTokApi.user(username='universityclubapts', user_id='None', sec_uid='MS4wLjABAAAAf0PhAqBti3nUXoip4R6g8-EF_fi1sJwwohJsO2jOHEpOiU2ufI8gYVQKGXfWMrcx')
TikTokApi.user(username='udechile', user_id='None', sec_uid='MS4wLjABAAAAWsbBcYJXAUE8QtqqE2YXXi11vMlScjiHXOpLEmrazh1cfz0Q_WNK-F2k0CVULPjU')
TikTokApi.user(username='melbourneunicricket', user_id='None', sec_uid='MS4wLjABAAAAwgRkPeZ62SgFHqqQW6gwIk7N4xFkqDx7sSXAXg78rovko4VimjovFROHR8ARWCPy')
TikTokApi.user(username='pumasmx', user_id='None', sec_uid='MS4wLjABAAAAR0CnEQS45u2s-iSxMa82t3RrYrKjvFdoxo092BNostYwaFp1iXF8DSHTzhD_JvkN')
TikTokApi.user(username='uybclub', user_id='None', sec_uid='MS4wLjABAAAAdF0TPRyjBUjDGL291STnob6bPDBN7LAzmA3MFSWfixnEB3Y74csOJa9v3_W2RyJi')
TikTokApi.user(username='huskateclub', user_id='None', sec_uid='MS4wLjABAAAAZAkVrsNrCCn3fDzyJWftEOXlKyxd76MErgc-yRgkD_er3AkuUFfMlNX5CZRMdlPT')
TikTokApi.user(username='moiuniversitygossipclub', user_id='None', sec_uid='MS4wLjABAAAAZZDzNbJQhO_nT91oT5BJhFjQV1li4T3o4Cwo0dzppwCW_MiMkEcytDmUzZ2pJQ-D')
TikTokApi.user(username='uclubuf', user_id='None', sec_uid='MS4wLjABAAAA8TpJbLgXUbHNtn6Ia5cUAakEvv5PE1oq9b5ZPxOF6vidKdnxdTbnMJ39-ujUsvG-')
TikTokApi.user(username='universityexplorersclub', user_id='None', sec_uid='MS4wLjABAAAATdEREmyHstkDmOHIOtdVKhPV8E8qQlGuMTTXtmRGYApWdrIL4J_MnDCZw17pLUpq')
TikTokApi.user(username='egertondrama', user_id='None', sec_uid='MS4wLjABAAAAdVDAaRT_Xz5l7Nc0cHm_5-qnoE948OF96F-t2Nf6-wLFgcYALASc11slBv3u_WF_')
TikTokApi.user(username='blacktechniques', user_id='None', sec_uid='MS4wLjABAAAAmICOasQRI6cS4iFibxpZ2jheNy8NYOFDL4X56sMgndO5O5Du7Ymq6929vN01X3P3')
TikTokApi.user(username='tech', user_id='None', sec_uid='MS4wLjABAAAAd2mvKy0Rl_jnY2YxJAXT3TWEnKZx_ZTosfmsPcFo9t6ly9fwxUV7nxerd6cpdMWx')
TikTokApi.user(username='linustech', user_id='None', sec_uid='MS4wLjABAAAAQGWqtJmV4wavY-Xavd4nPAloJ_VfwWM_xVN9-K4XvY1xnEkMnrZ0igm3asK6StJR')
TikTokApi.user(username='tech.us.out', user_id='None', sec_uid='MS4wLjABAAAA-NU0F6tUsG-1lgXR0C46SnbacvpN6PGhmyimhuBGcmUZRce5oTU9x2mkhTgygu5H')
TikTokApi.user(username='nathantech4', user_id='None', sec_uid='MS4wLjABAAAAufAK8bUGArral2Ysd2TBJhBlMWcQDrX-MuOJmHkTyEFwawGfgdGwMBSbXwqf3hrD')
TikTokApi.user(username='heyfanztech', user_id='None', sec_uid='MS4wLjABAAAA16G51R0rDwy4-K04-oRSzbHq7Xjt4uyrpyeJQCIFQKielY66Mp6ONqYWCvECEYKO')
TikTokApi.user(username='techaitec', user_id='None', sec_uid='MS4wLjABAAAAgYBacTTMdUVsnYzD92FsNTB14aGob6hSlujb0qstonR-yGZCXgeGyt9ePhX6n94M')
TikTokApi.user(username='carathevettech', user_id='None', sec_uid='MS4wLjABAAAAg45RHqG85QFGpOMUzYy4fbKKrz3UFQoPb_af8NWYpjEO6kRFICrfSG8wYtqsiCbN')
TikTokApi.user(username='imad_tech', user_id='None', sec_uid='MS4wLjABAAAAbUFcrM5-w5YByVsw6-3WdDxMoENLRHH29wLirjiME6w3goXg-GDyGTE2GHqftG2U')
TikTokApi.user(username='zaids.tech', user_id='None', sec_uid='MS4wLjABAAAAwsK4HUD_PImnXIM-eymhYsP5eHt2XI16IEGM1XjeyNB-XWJ4G7PWa4YOu0gpsfT_')
