id,views,comments,shares,posted_by,music_author,music_title,likes
7509073556714654993,6000000,72,531,Đại học HUTECH,Đại học HUTECH,nhạc nền - Đại học HUTECH,5478
7460411334010670343,30100000,153,887,Đại học HUTECH,Đô Tốc Độ,nhạc nền - Đô Tốc Độ,16300
7385094540371315986,3600000,48,329,Đại học HUTECH,Đại học HUTECH,nhạc nền - Đại học HUTECH,6835
7382650991939800325,821200,1149,3821,University Students,khairuddin_Barech,original sound - ARMAN🖤,42000
7468363283519507719,858300,1060,1999,University Students,🔥 KHAWAR 🔥,original sound,39000
7428999800932027666,289000,802,1413,University Students,Silver Bhai,original sound,17900
7433077743060815122,93600,317,434,University Students,Sunny Raj👿,original sound,7222
7521780923612794119,338000,314,4733,Mahi,Relaxing Piano Music Consort & Piano Love Songs & Relajante Música de Piano Oasis,Piano Tune,21300
7520644734663085319,2300000,791,1508,Mahi,Mahi,original sound,113200
7520229592230137095,107600,68,403,Mahi,Sajjan Raj Vaidya,Aaundai chu ma maya..lina timilai,5435
7519867704010870023,1400000,307,407,Mahi,Mahi,original sound,64400
7518039956539870472,137200,64,40,Mahi,Mahi,original sound,7470
7472379245587713298,603800,154,6953,Students.clubs,Bri,original sound,21500
7467534033874898183,430300,97,6859,Students.clubs,נסרין קדרי,לא לפנות אליי,14100
7491687311642496278,257700,43,22200,University Student,Seraph,оригинальный звук - 𝔎𝔦𝔶𝔬𝔭𝔬𝔫.𝔣𝔦𝔩𝔪𝔰,39900
7487548991794695446,138300,9,8540,University Student,pz ♪,som original,17700
7475840811872079126,519300,285,21800,University Student,Сергей Прокофьев,"(1938) Ромео и Джульетта - Сцена II: No 13, Танец рыцарей",104300
7475838698886581526,1800000,446,86200,University Student,Nature Sound Emporium,Bach - Cello Suite 1,354100
7472391874666433814,2200000,559,101800,University Student,SPAM LIKE = BLOCK,original sound,294900
7472137911329230102,60400,6,2366,University Student,🥞,prayer kendrick,6514
7471557742302366998,357200,67,18200,University Student,💬,me and the birds slowed,37800
7228064678901976338,170500,57,974,theunitycouncil,theunitycouncil,original sound - theunitycouncil,20500
7208815006857563410,411500,274,2286,theunitycouncil,theunitycouncil,original sound - theunitycouncil,60000
7268673269975272737,42100,7,3,TECH Universidad,Tollan Kim,Aesthetic,52200
7265700301888425248,44500,2,1,TECH Universidad,Danilo Stankovic,Pieces (Solo Piano Version),42200
7255302206423977242,51000,0,7,TECH Universidad,Danilo Stankovic,Pieces (Solo Piano Version),53900
7252252042406890779,52500,11,7,TECH Universidad,Danilo Stankovic,Pieces (Solo Piano Version),35000
7247207114576268571,45900,0,1,TECH Universidad,TECH Universidad,sonido original,39200
7247044637490220315,39500,8,2,TECH Universidad,TECH Universidad,sonido original,23300
7243744181871562011,98400,0,1,TECH Universidad,TECH Universidad,sonido original,50000
7233784908722834714,70000,0,6,TECH Universidad,TECH Universidad,sonido original,40000
7230564311670852890,53900,7,1,TECH Universidad,TECH Universidad,sonido original,30000
7224153019313573147,37800,7,10,TECH Universidad,TECH Universidad,sonido original,38700
7377388258692517126,56000,21,100,NUC University Student Council,NUC University Student Council,original sound - NUC University Student Council,6005
7333455738200739078,168600,67,367,NUC University Student Council,cverlxys,enchanted,7125
7440075026658774290,14100000,6179,15700,Techtomer University,Techtomer University,original sound - Techtomer University,163500
7412934295951576338,2600000,1376,9570,Techtomer University,Techtomer University,original sound - Techtomer University,39100
7397750683870579986,3200000,3539,7630,Techtomer University,Techtomer University,original sound - Techtomer University,66400
7523025823742446866,603900,133,642,Peking University,Peking University,original sound - Peking University,17300
7517835328913296658,440500,119,482,Peking University,Peking University,original sound,11800
7525774606360120594,313000,99,362,Peking University,Peking University,original sound,16200
7525518233340808455,555700,37,190,Peking University,Peking University,original sound,6246
7524608912293825799,476900,67,154,Peking University,Peking University,original sound,7498
7524361482797124880,506600,56,248,Peking University,Peking University,原声 - Peking University,36900
7524284859305463041,493600,116,279,Peking University,Peking University,original sound - Peking University,15300
7523500242260512018,459500,118,346,Peking University,Peking University,original sound - Peking University,12200
7523291623363448072,325500,63,137,Peking University,Peking University,original sound - Peking University,5758
7522397284454255893,355000,67,259,Peking University,Peking University,original sound - Peking University,7081
7520549941161315591,381600,50,132,Peking University,Peking University,original sound,9260
7518960096076926215,471700,37,285,Peking University,Peking University,original sound,11400
7511053543596428562,806500,121,435,Peking University,Peking University,original sound,21500
7509297418442247432,455100,75,291,Peking University,Peking University,original sound,11800
7346634043175226629,96800,30,73,University Dance Society,REBELTHISREBELTHAT,original sound,5263
7526598411747904773,1600000,1352,2071,MPL Indonesia,MPL Indonesia,suara asli - MPL Indonesia,76500
7527909634267565318,123500,156,60,MPL Indonesia,𝐨𝐧𝐞𝐨𝐧𝐥𝖊𝖊🌊,suara asli - 𝐨𝐧𝐞𝐨𝐧𝐥𝖊𝖊🌊,5334
7527896194715110662,148800,49,121,MPL Indonesia,MPL Indonesia,suara asli - MPL Indonesia,6123
7527650779117702456,261200,51,55,MPL Indonesia,𝖍𝖆𝖑𝖑𝖔𝖜,original sound,9606
7527634236921171205,369900,105,28,MPL Indonesia,MPL Indonesia,suara asli - MPL Indonesia,15500
7527576545792183608,288700,182,51,MPL Indonesia,Sam Jorden,original sound,9745
7527457976962141496,248600,77,80,MPL Indonesia,MPL Indonesia,suara asli - MPL Indonesia,8237
7527315217206873400,276700,144,80,MPL Indonesia,MPL Indonesia,suara asli - MPL Indonesia,5434
7527257367545662726,981700,250,576,MPL Indonesia,IRONMAN,original sound - IRONMAN,37700
7527235679571561734,267000,141,66,MPL Indonesia,MPL Indonesia,suara asli - MPL Indonesia,11600
7527189376565087544,489400,268,141,MPL Indonesia,MPL Indonesia,suara asli - MPL Indonesia,14600
7526492199542951174,704700,257,279,MPL Indonesia,Dj Danvata,suara asli - Dj Danvata,18700
7526472790216625414,685300,102,137,MPL Indonesia,prodvior,origineel geluid,12300
7526150691677605125,416000,140,169,MPL Indonesia,abil,suara asli - abil,7332
7525818447142473016,1300000,332,317,MPL Indonesia,MPL Indonesia,suara asli - MPL Indonesia,23200
7525796525855853830,1200000,496,431,MPL Indonesia,MPL Indonesia,suara asli - MPL Indonesia,53800
7525748622869220613,507200,123,239,MPL Indonesia,yadzu,оригинальный звук - yadzu,12300
7525652233006992645,392900,145,80,MPL Indonesia,MPL Indonesia,suara asli - MPL Indonesia,10500
7525433595029097734,1500000,263,491,MPL Indonesia,MPL Indonesia,suara asli - MPL Indonesia,36300
