username,nickname,signature,followers,following,likes,videos_count,is_verified,privateAccount
techtituteus,TECH Global University,TECH is the world's largest #OnlineUniversity.,1000000,1,24600,14,False,False
hutechuniversity,Đại học HUTECH,"HUTECH: Đại học chuẩn quốc tế, năng động, đa trải nghiệm!",328800,0,3900000,1751,True,False
custudentclub,CU STUDENT CLUB,"🌟 Building leadership, connections & growth through opportunities 🌟",10,0,0,0,False,False
iqra.university.student,University Students,,15000,17,270700,128,False,False
mahiyaaa___,Mahi,"Instagram: @mahiyaaa___
Yes, @Mahiyaaa is my account ❤️",849500,96,35800000,3341,True,False
universitytech,Uni tech,"Any genre
I use Funimate and CapCut",14,73,1385,10,False,False
university_student,University_student,,137,0,0,0,False,False
student.club.by.tau.uniq,Students.clubs,הבית של הסטודנטים/ות בישראל👨‍💻,3497,539,43000,140,False,False
universitystudent38,University Student,"✨   Student Meme Page   ✨
 ✨    Academic Victims   ✨
    ✨3005/5000 Victims✨",2947,0,1600000,100,False,False
student.university6,STUDENT UNIVERSITY,"بكلوريوس مرحله ثانيه
مرحله ثانيه
العمر. 21",1071,1250,0,0,False,False
theunitycouncil_,theunitycouncil,"Official Unity Council Tiktok account 🦅🔥
Powered by P&O EXCO 🎉",1275,7,106600,45,False,False
hutechuniversity,Đại học HUTECH,"HUTECH: Đại học chuẩn quốc tế, năng động, đa trải nghiệm!",328800,0,3900000,1751,True,False
hau.usc,HAU University Student Council,The official Tiktok account of HAU-USC.,238,0,2055,29,False,False
riztechuniversity,Rizal Technological University,,608,0,54,10,False,False
techtituteus,TECH Global University,TECH is the world's largest #OnlineUniversity.,1000000,1,24600,14,False,False
iuhacparis,University Council,,75,340,1612,196,False,False
techtitute,TECH Universidad,TECH es la mayor universidad digital del mundo.,1000000,51,506700,204,False,False
taltechuniversity,TalTech University,Welcome to the most innovative university in Estonia ⚡️TalTech⚡️,1829,63,27100,197,False,False
nucusc,NUC University Student Council,The Official TikTok Account of NU Clark University Student Council,853,6,28700,12,False,False
techtomer.univers,Techtomer University,bawal ang iyakin dito !!!,100000,21,613100,227,False,False
