extra,log_pb,shareMeta,statusCode,status_code,status_msg,userInfo
"{'fatal_item_ids': [], 'logid': '20250717103506B4DCC44853CE9362A3BF', 'now': 1752719706000}",{'impr_id': '20250717103506B4DCC44853CE9362A3BF'},"{'desc': '@medic.organizatio 1012 Followers, 0 Following, 207 Likes - Watch awesome short videos created by Medic Organization', 'title': 'Medic Organization on TikTok'}",0,0,,"{'stats': {'diggCount': 0, 'followerCount': 1012, 'followingCount': 0, 'friendCount': 0, 'heart': 207, 'heartCount': 207, 'videoCount': 15}, 'statsV2': {'diggCount': '0', 'followerCount': '1012', 'followingCount': '0', 'friendCount': '0', 'heart': '207', 'heartCount': '207', 'videoCount': '15'}, 'user': {'UserStoryStatus': 0, 'avatarLarger': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/467e14ca96cdcd0617ab6509f2daa00f~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=5dd552e9&x-expires=1752890400&x-signature=hHurz7uvztX%2FAsdhE1VqTreBnQY%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarMedium': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/467e14ca96cdcd0617ab6509f2daa00f~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=280ad3e2&x-expires=1752890400&x-signature=U12DhL2d9kRrmvLKWvKccgMeYO0%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarThumb': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/467e14ca96cdcd0617ab6509f2daa00f~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=7a6c76b6&x-expires=1752890400&x-signature=Qrt24K6C5qNC2xD0bny8ReGs184%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'canExpPlaylist': True, 'commentSetting': 0, 'commerceUserInfo': {'commerceUser': False}, 'downloadSetting': 0, 'duetSetting': 0, 'followingVisibility': 1, 'ftc': False, 'id': '7499084723038340102', 'isADVirtual': False, 'isEmbedBanned': False, 'nickNameModifyTime': 1746016997, 'nickname': 'Medic Organization', 'openFavorite': False, 'privateAccount': False, 'profileEmbedPermission': 1, 'profileTab': {'showPlayListTab': False}, 'relation': 0, 'secUid': 'MS4wLjABAAAA8p2ExMJ9qSR56UcfpHYIfFRJYZ2QA9KSGkcHBFIN7zy-wzl6STOKcZKJx0YbxNw4', 'secret': False, 'signature': 'Empowering medics | Study tips, case studies & updates | Est. 2025', 'stitchSetting': 0, 'ttSeller': False, 'uniqueId': 'medic.organizatio', 'verified': False}}"
"{'fatal_item_ids': [], 'logid': '20250717103506DC40FD5600BFAF69D6CB', 'now': 1752719707000}",{'impr_id': '20250717103506DC40FD5600BFAF69D6CB'},"{'desc': '@organizationofmedicine 955 Followers, 133 Following, 425 Likes - Watch awesome short videos created by Tibbi Lisenziya Consulting', 'title': 'Tibbi Lisenziya Consulting on TikTok'}",0,0,,"{'stats': {'diggCount': 0, 'followerCount': 955, 'followingCount': 133, 'friendCount': 38, 'heart': 425, 'heartCount': 425, 'videoCount': 14}, 'statsV2': {'diggCount': '0', 'followerCount': '955', 'followingCount': '133', 'friendCount': '38', 'heart': '425', 'heartCount': '425', 'videoCount': '14'}, 'user': {'UserStoryStatus': 0, 'avatarLarger': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/3af402c1f9e0c472067f5d6392dbec16~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=f77018f3&x-expires=1752890400&x-signature=%2B5OPiVV%2FfQX4ZOlsK23ZQpclmjE%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarMedium': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/3af402c1f9e0c472067f5d6392dbec16~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=1b07fc99&x-expires=1752890400&x-signature=QwZiQ7y%2BiJ5dCx%2Fw9Iq1AUOgWfM%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarThumb': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/3af402c1f9e0c472067f5d6392dbec16~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=aee7353d&x-expires=1752890400&x-signature=6lqGPpVsaxgT1oeXt9TJDEapqOw%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'canExpPlaylist': True, 'commentSetting': 0, 'commerceUserInfo': {'category': 'Health & Wellness', 'categoryButton': False, 'commerceUser': True}, 'downloadSetting': 0, 'duetSetting': 0, 'followingVisibility': 1, 'ftc': False, 'id': '6922496542037722117', 'isADVirtual': False, 'isEmbedBanned': False, 'nickNameModifyTime': 1742230249, 'nickname': 'Tibbi Lisenziya Consulting', 'openFavorite': False, 'privateAccount': False, 'profileEmbedPermission': 1, 'profileTab': {'showPlayListTab': False}, 'relation': 0, 'secUid': 'MS4wLjABAAAAXjGIvnb_xf2s-Se-TLwAR7RJ254G4wgJueUjxe9lMUViKOqmJa_HSnFk6LbcYPwu', 'secret': False, 'signature': 'Tibbi Layihələrin verilməsi və Lisenziya alınmasına dəstək!\n+994 51 743 43 88', 'stitchSetting': 0, 'ttSeller': False, 'uniqueId': 'organizationofmedicine', 'verified': False}}"
"{'fatal_item_ids': [], 'logid': '20250717103507C688DD1F2E629765165F', 'now': 1752719707000}",{'impr_id': '20250717103507C688DD1F2E629765165F'},"{'desc': '@medicinewachonuniversity 13 Followers, 2 Following, 0 Likes - Watch awesome short videos created by medicinewachonuniversity', 'title': 'medicinewachonuniversity on TikTok'}",0,0,,"{'stats': {'diggCount': 0, 'followerCount': 13, 'followingCount': 2, 'friendCount': 0, 'heart': 0, 'heartCount': 0, 'videoCount': 0}, 'statsV2': {'diggCount': '0', 'followerCount': '13', 'followingCount': '2', 'friendCount': '0', 'heart': '0', 'heartCount': '0', 'videoCount': '0'}, 'user': {'UserStoryStatus': 0, 'avatarLarger': 'https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-giso/7f2fb25246e6dd76642f124841dfcfd8~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=d477b441&x-expires=1752890400&x-signature=KcINTN6M%2F84nFgTcchY0hj9ZtkU%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarMedium': 'https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-giso/7f2fb25246e6dd76642f124841dfcfd8~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=db49b6c4&x-expires=1752890400&x-signature=GaFTtq3qyQeMOXHDQex%2BuJzataY%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarThumb': 'https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-giso/7f2fb25246e6dd76642f124841dfcfd8~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=8793fb85&x-expires=1752890400&x-signature=K9VW5%2F09l99yqGAJST9HArvFHZo%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'canExpPlaylist': True, 'commentSetting': 0, 'commerceUserInfo': {'commerceUser': False}, 'downloadSetting': 3, 'duetSetting': 1, 'followingVisibility': 1, 'ftc': False, 'id': '7098208303642543131', 'isADVirtual': False, 'isEmbedBanned': False, 'nickname': 'medicinewachonuniversity', 'openFavorite': False, 'privateAccount': False, 'profileEmbedPermission': 1, 'profileTab': {'showPlayListTab': False}, 'relation': 0, 'secUid': 'MS4wLjABAAAAaacO4B2JeiFUL67lcIf5riWLlK8MOYvu88jrn5gErkMWJ5-1mDABtJec8vJmD2NB', 'secret': False, 'signature': 'Medicine Wuachon', 'stitchSetting': 1, 'ttSeller': False, 'uniqueId': 'medicinewachonuniversity', 'verified': False}}"
"{'fatal_item_ids': [], 'logid': '2025071710350738E5B69280EEFF62E462', 'now': 1752719707000}",{'impr_id': '2025071710350738E5B69280EEFF62E462'},"{'desc': '@sabamedschool 17.4k Followers, 10 Following, 24.6k Likes - Watch awesome short videos created by SabaUniversitySchoolofMedicine', 'title': 'SabaUniversitySchoolofMedicine on TikTok'}",0,0,,"{'stats': {'diggCount': 0, 'followerCount': 17400, 'followingCount': 10, 'friendCount': 8, 'heart': 24600, 'heartCount': 24600, 'videoCount': 30}, 'statsV2': {'diggCount': '0', 'followerCount': '17377', 'followingCount': '10', 'friendCount': '8', 'heart': '24641', 'heartCount': '24641', 'videoCount': '30'}, 'user': {'UserStoryStatus': 0, 'avatarLarger': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/d1f80151f65530cc08891d611c5d28e4~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=e184ae0e&x-expires=1752890400&x-signature=e6zs75v8Z%2BlKo0BCo0CUE0NUf7s%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarMedium': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/d1f80151f65530cc08891d611c5d28e4~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=408b39f4&x-expires=1752890400&x-signature=JvHfXcpCBRo1p4I7KqkbCcEZvpM%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarThumb': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/d1f80151f65530cc08891d611c5d28e4~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=c2959ae4&x-expires=1752890400&x-signature=g0wuAbXg12uOqV1DnC6Uvsr55CE%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'bioLink': {'link': 'https://bit.ly/saba-edu', 'risk': 3}, 'canExpPlaylist': True, 'commentSetting': 0, 'commerceUserInfo': {'category': 'Education & Training', 'categoryButton': False, 'commerceUser': True}, 'downloadSetting': 0, 'duetSetting': 0, 'followingVisibility': 1, 'ftc': False, 'id': '7166248619782669317', 'isADVirtual': False, 'isEmbedBanned': False, 'nickNameModifyTime': 1671109874, 'nickname': 'SabaUniversitySchoolofMedicine', 'openFavorite': False, 'privateAccount': False, 'profileEmbedPermission': 1, 'profileTab': {'showPlayListTab': False}, 'relation': 0, 'secUid': 'MS4wLjABAAAAolT3rwq3B7ZP0mPX1EzYDHhmXfXXRUDHHOoaFXTxXIbDby-O8sKAUFpSAzp-VXqP', 'secret': False, 'signature': 'Saba University School of Medicine 🥼\n#SabaMedSchool', 'stitchSetting': 0, 'ttSeller': False, 'uniqueId': 'sabamedschool', 'verified': False}}"
"{'fatal_item_ids': [], 'logid': '2025071710350738E5B69280EEFF62E46D', 'now': 1752719707000}",{'impr_id': '2025071710350738E5B69280EEFF62E46D'},"{'desc': '@med.university 1855 Followers, 14 Following, 257.4k Likes - Watch awesome short videos created by med', 'title': 'med on TikTok'}",0,0,,"{'stats': {'diggCount': 0, 'followerCount': 1855, 'followingCount': 14, 'friendCount': 12, 'heart': 257400, 'heartCount': 257400, 'videoCount': 56}, 'statsV2': {'diggCount': '0', 'followerCount': '1855', 'followingCount': '14', 'friendCount': '12', 'heart': '257433', 'heartCount': '257433', 'videoCount': '56'}, 'user': {'UserStoryStatus': 0, 'avatarLarger': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/88519ccf852a95252dad1ab2c744be96~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=1c15544c&x-expires=1752890400&x-signature=M8D9t2OejPuPmqlSqFtRa8%2Bso3U%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarMedium': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/88519ccf852a95252dad1ab2c744be96~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=d9ac7e2b&x-expires=1752890400&x-signature=8syoJXvuWs8JWMvNBH6XXZ7bf8s%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarThumb': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/88519ccf852a95252dad1ab2c744be96~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=4c850beb&x-expires=1752890400&x-signature=imKLA3ib%2B6m3isjTnXsbeZVs9ZY%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'canExpPlaylist': True, 'commentSetting': 0, 'commerceUserInfo': {'commerceUser': False}, 'downloadSetting': 0, 'duetSetting': 0, 'followingVisibility': 2, 'ftc': False, 'id': '7072056070554338310', 'isADVirtual': False, 'isEmbedBanned': False, 'nickNameModifyTime': 1693161167, 'nickname': 'med', 'openFavorite': False, 'privateAccount': False, 'profileEmbedPermission': 1, 'profileTab': {'showPlayListTab': False}, 'relation': 0, 'secUid': 'MS4wLjABAAAACGORRF1gPcW9a2qyIJ7jGDRcCD-DtJZhrKuehPbJzwmEwBr2fUp4pNMnM-ffuH07', 'secret': False, 'signature': 'життя в медичному', 'stitchSetting': 0, 'ttSeller': False, 'uniqueId': 'med.university', 'verified': False}}"
"{'fatal_item_ids': [], 'logid': '2025071710350738E5B69280EEFF62E471', 'now': 1752719707000}",{'impr_id': '2025071710350738E5B69280EEFF62E471'},"{'desc': '@university1644 1300 Followers, 2699 Following, 68.7k Likes - Watch awesome short videos created by UNIVERSITY', 'title': 'UNIVERSITY on TikTok'}",0,0,,"{'stats': {'diggCount': 0, 'followerCount': 1300, 'followingCount': 2699, 'friendCount': 954, 'heart': 68700, 'heartCount': 68700, 'videoCount': 2653}, 'statsV2': {'diggCount': '0', 'followerCount': '1300', 'followingCount': '2699', 'friendCount': '954', 'heart': '68651', 'heartCount': '68651', 'videoCount': '2653'}, 'user': {'UserStoryStatus': 1, 'avatarLarger': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/19581f99a84a9616c7265ad88f04accb~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=f4764db2&x-expires=1752890400&x-signature=%2FqrrpVGpFVebb%2BCKJGue4seUurI%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarMedium': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/19581f99a84a9616c7265ad88f04accb~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=66e8353b&x-expires=1752890400&x-signature=wx3E5%2FLZI7fbGyaheDFP%2FwZvOR8%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarThumb': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/19581f99a84a9616c7265ad88f04accb~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=a59dc0bd&x-expires=1752890400&x-signature=xhkULBf4Tv7Nzsm2IZaEh1g4Ys8%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'canExpPlaylist': True, 'commentSetting': 0, 'commerceUserInfo': {'commerceUser': False}, 'downloadSetting': 0, 'duetSetting': 0, 'followingVisibility': 1, 'ftc': False, 'id': '6976081532603679746', 'isADVirtual': False, 'isEmbedBanned': False, 'nickNameModifyTime': 1744461393, 'nickname': 'UNIVERSITY', 'openFavorite': False, 'privateAccount': False, 'profileEmbedPermission': 1, 'profileTab': {'showPlayListTab': False}, 'relation': 0, 'secUid': 'MS4wLjABAAAAUTp3YZCwtPyfJwrLz29CFSb9O5D9uXvj6QsQsOJoNffFkJV9cLHUE9yuJRw7K11L', 'secret': False, 'signature': '', 'stitchSetting': 0, 'ttSeller': False, 'uniqueId': 'university1644', 'verified': False}}"
"{'fatal_item_ids': [], 'logid': '20250717103507B4DCC44853CE9362A3E0', 'now': 1752719708000}",{'impr_id': '20250717103507B4DCC44853CE9362A3E0'},"{'desc': '@nusmedicine 1769 Followers, 7 Following, 11.9k Likes - Watch awesome short videos created by nusmedicine', 'title': 'nusmedicine on TikTok'}",0,0,,"{'stats': {'diggCount': 0, 'followerCount': 1769, 'followingCount': 7, 'friendCount': 5, 'heart': 11900, 'heartCount': 11900, 'videoCount': 63}, 'statsV2': {'diggCount': '0', 'followerCount': '1769', 'followingCount': '7', 'friendCount': '5', 'heart': '11918', 'heartCount': '11918', 'videoCount': '63'}, 'user': {'UserStoryStatus': 0, 'avatarLarger': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/4d3f4ad223ffc2716933fc249b6d9d45~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=fe0647f5&x-expires=1752890400&x-signature=E74bYzLvffJuUaXtiaJXIMw1Uno%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarMedium': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/4d3f4ad223ffc2716933fc249b6d9d45~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=d3cc62cf&x-expires=1752890400&x-signature=TEYgyIgt3FUwnp00%2FLQyCdpg%2FHE%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarThumb': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/4d3f4ad223ffc2716933fc249b6d9d45~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=56f7a396&x-expires=1752890400&x-signature=8%2BWeiqBdcYIRxMgpBIDNQfvL51A%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'bioLink': {'link': 'https://linktr.ee/nusmedicine', 'risk': 0}, 'canExpPlaylist': True, 'commentSetting': 0, 'commerceUserInfo': {'category': 'Education & Training', 'categoryButton': False, 'commerceUser': True, 'downLoadLink': {'android': '', 'ios': ''}}, 'downloadSetting': 0, 'duetSetting': 0, 'followingVisibility': 1, 'ftc': False, 'id': '7194386490519405569', 'isADVirtual': False, 'isEmbedBanned': False, 'nickNameModifyTime': 1675073855, 'nickname': 'nusmedicine', 'openFavorite': False, 'privateAccount': False, 'profileEmbedPermission': 1, 'profileTab': {'showPlayListTab': False}, 'relation': 0, 'secUid': 'MS4wLjABAAAAy8OYHq5XI45CMIFLkBmBvy0t4x61VV6NmvTuBp3tfnSYdUYjysIVsgjDxZ4uUqjK', 'secret': False, 'signature': 'Official account of NUS Yong Loo Lin School of Medicine. Connect kindly!', 'stitchSetting': 0, 'ttSeller': False, 'uniqueId': 'nusmedicine', 'verified': False}}"
"{'fatal_item_ids': [], 'logid': '20250717103508CA324539623511624739', 'now': 1752719708000}",{'impr_id': '20250717103508CA324539623511624739'},"{'desc': '@medicineuniversity 1056 Followers, 10 Following, 10.3k Likes - Watch awesome short videos created by medicalpractice', 'title': 'medicalpractice on TikTok'}",0,0,,"{'stats': {'diggCount': 0, 'followerCount': 1056, 'followingCount': 10, 'friendCount': 2, 'heart': 10300, 'heartCount': 10300, 'videoCount': 30}, 'statsV2': {'diggCount': '0', 'followerCount': '1056', 'followingCount': '10', 'friendCount': '2', 'heart': '10326', 'heartCount': '10326', 'videoCount': '30'}, 'user': {'UserStoryStatus': 0, 'avatarLarger': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/ee81d1e67e6828445ebb708e0ab1b40f~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=6f98e160&x-expires=1752890400&x-signature=YVmJgiQxP2AI5FATZI1hDFXMtvQ%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarMedium': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/ee81d1e67e6828445ebb708e0ab1b40f~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=e95fca64&x-expires=1752890400&x-signature=RIBnTwfLSu5%2BDJnhKjzavUNiSsA%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarThumb': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/ee81d1e67e6828445ebb708e0ab1b40f~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=b77897d3&x-expires=1752890400&x-signature=ixY1vOO6XiD09ePtf%2BuOnNu4028%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'canExpPlaylist': True, 'commentSetting': 0, 'commerceUserInfo': {'commerceUser': False}, 'downloadSetting': 0, 'duetSetting': 0, 'followingVisibility': 1, 'ftc': False, 'id': '6933959445227963393', 'isADVirtual': False, 'isEmbedBanned': False, 'nickNameModifyTime': 1614439547, 'nickname': 'medicalpractice', 'openFavorite': False, 'privateAccount': False, 'profileEmbedPermission': 1, 'profileTab': {'showPlayListTab': False}, 'relation': 0, 'secUid': 'MS4wLjABAAAAH7EIzmTmb55X6sp8JZkL0xxGQdsbyGT98YaMfDRxPDvmNwlvQa02XyN1I4n1qP82', 'secret': False, 'signature': 'Pimples, blackheads and acne ASMR 💯💯💯', 'stitchSetting': 0, 'ttSeller': False, 'uniqueId': 'medicineuniversity', 'verified': False}}"
"{'fatal_item_ids': [], 'logid': '20250717103508FEC3A26811BB0E6569EC', 'now': 1752719708000}",{'impr_id': '20250717103508FEC3A26811BB0E6569EC'},"{'desc': '@koreauniversitymedicine 6 Followers, 0 Following, 9 Likes - Watch awesome short videos created by KOREAUNIVERSITYMEDICINE FAN', 'title': 'KOREAUNIVERSITYMEDICINE FAN on TikTok'}",0,0,,"{'stats': {'diggCount': 0, 'followerCount': 6, 'followingCount': 0, 'friendCount': 0, 'heart': 9, 'heartCount': 9, 'videoCount': 17}, 'statsV2': {'diggCount': '0', 'followerCount': '6', 'followingCount': '0', 'friendCount': '0', 'heart': '9', 'heartCount': '9', 'videoCount': '17'}, 'user': {'UserStoryStatus': 0, 'avatarLarger': 'https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-euttp/14c2075e9243b3e3cf0b15e3b21a9824~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=50d753d2&x-expires=1752890400&x-signature=1tbnG58lnOIjTAeWkK14lA%2FcRbc%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarMedium': 'https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-euttp/14c2075e9243b3e3cf0b15e3b21a9824~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=5f38cdf4&x-expires=1752890400&x-signature=%2B7HIdYpYf%2BVIpBuEgLubpFDvzsA%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarThumb': 'https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-euttp/14c2075e9243b3e3cf0b15e3b21a9824~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=f1a42663&x-expires=1752890400&x-signature=F9JgposaWV5WgFMz9YrVZnkyf%2BQ%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'canExpPlaylist': True, 'commentSetting': 0, 'commerceUserInfo': {'commerceUser': False}, 'downloadSetting': 0, 'duetSetting': 0, 'followingVisibility': 1, 'ftc': False, 'id': '7347599965957260321', 'isADVirtual': False, 'isEmbedBanned': False, 'nickNameModifyTime': 1716192219, 'nickname': 'KOREAUNIVERSITYMEDICINE FAN', 'openFavorite': False, 'privateAccount': False, 'profileEmbedPermission': 1, 'profileTab': {'showPlayListTab': False}, 'relation': 0, 'secUid': 'MS4wLjABAAAAV_BX7EAYLWlPCWk2tFgdvhrrOWHBICmHOhkW4PwEOznSX6jrPFYzEyXKi1Kg2bU_', 'secret': False, 'signature': '', 'stitchSetting': 0, 'ttSeller': False, 'uniqueId': 'koreauniversitymedicine', 'verified': False}}"
"{'fatal_item_ids': [], 'logid': '202507171035085A4BECF40EB68B654EDD', 'now': 1752719708000}",{'impr_id': '202507171035085A4BECF40EB68B654EDD'},"{'desc': '@medical_universe_3d 488.3k Followers, 51 Following, 929.4k Likes - Watch awesome short videos created by Medical universe 3d', 'title': 'Medical universe 3d on TikTok'}",0,0,,"{'stats': {'diggCount': 0, 'followerCount': 488300, 'followingCount': 51, 'friendCount': 5, 'heart': 929400, 'heartCount': 929400, 'videoCount': 140}, 'statsV2': {'diggCount': '0', 'followerCount': '488311', 'followingCount': '51', 'friendCount': '5', 'heart': '929392', 'heartCount': '929392', 'videoCount': '140'}, 'user': {'UserStoryStatus': 0, 'avatarLarger': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/186c888b24aea593249533fb5ea6c90e~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=796b9ce4&x-expires=1752890400&x-signature=JVqs1kl%2FpmcH94HdceF6eoknDh4%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarMedium': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/186c888b24aea593249533fb5ea6c90e~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=1e9998b0&x-expires=1752890400&x-signature=t%2FXMK8rBNdpH4%2Bvfx3vOBBls4%2FM%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarThumb': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/186c888b24aea593249533fb5ea6c90e~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=ba4565fa&x-expires=1752890400&x-signature=Pxi33QlBw%2FErwQUW4qL6L6Fifek%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'canExpPlaylist': True, 'commentSetting': 0, 'commerceUserInfo': {'commerceUser': False}, 'downloadSetting': 0, 'duetSetting': 0, 'followingVisibility': 2, 'ftc': False, 'id': '7290139209889072171', 'isADVirtual': False, 'isEmbedBanned': False, 'nickNameModifyTime': 1698007408, 'nickname': 'Medical universe 3d', 'openFavorite': False, 'privateAccount': False, 'profileEmbedPermission': 1, 'profileTab': {'showPlayListTab': False}, 'relation': 0, 'secUid': 'MS4wLjABAAAA86Ad_4jxg61U9mFv1zZxeT83zFDiuG-07M3XGbA77UcTdRVU4yC2H0rFLjPwUdIc', 'secret': False, 'signature': 'This account shares medical animation knowledge for educational purposes only', 'stitchSetting': 0, 'ttSeller': False, 'uniqueId': 'medical_universe_3d', 'verified': False}}"
