id,comments,shares,video_length,posted_by,music_author,music_title,likes
7527419804852997390,915,461,N/A,The Rock,The Rock,original sound,15700
7525565776187706679,992,259,N/A,The Rock,The Rock,original sound,9902
7524682568218725645,1079,219,N/A,The Rock,The Rock,original sound,17800
7524124812571151671,3020,5912,N/A,The Rock,August Campbell,The I-95 Asshole Song,137100
7522077893778853134,4066,14000,N/A,The Rock,The Rock,original sound,419600
7521317763235859725,14400,27500,N/A,The Rock,Roy Orbison,Only The Lonely,395200
7517699474173545783,2994,1687,N/A,The Rock,The Rock,original sound,79300
7515495980482039083,2744,2332,N/A,The Rock,The Rock,original sound,124600
7514415758462618926,1804,686,N/A,The Rock,The Rock,original sound,38900
7512600209193733422,2075,687,N/A,The Rock,The Rock,original sound,29100
7509600739262500142,1256,218,N/A,The Rock,Timothée Chalamet,"Pure Imagination (from ""Wonka"")",14900
7507281288143932714,1108,236,N/A,The Rock,Yves,DIM,25800
7506587540539854123,2571,6463,N/A,The Rock,The Rock,original sound,229100
7505806550301429038,2589,1529,N/A,The Rock,The Rock,original sound,141400
7505439486084484395,2171,651,N/A,The Rock,The Rock,original sound,29700
7498828992825396526,2741,782,N/A,The Rock,The Rock,original sound,22000
7498176682105294123,5634,4872,N/A,The Rock,The Rock,original sound,310500
7495761605502848298,1664,505,N/A,The Rock,Sabrina Carpenter,Juno,26600
7494644438497529130,3358,1484,N/A,The Rock,The Rock,original sound,61300
7494316440749755694,1464,4078,N/A,The Rock,The Rock,original sound,66100
7493217492802882858,2038,672,N/A,The Rock,The Rock,original sound,44300
7492481998187990318,6703,15500,N/A,The Rock,Eric Clapton,Hey Hey - Acoustic Live,278900
7490673656641637675,3050,3107,N/A,The Rock,The Rock,original sound,95000
7487701629119171886,3286,1041,N/A,The Rock,The Rock,original sound,47100
7486515871624596782,6050,6516,N/A,The Rock,The Rock,original sound,205800
7482814601717910826,4952,2031,N/A,The Rock,The Rock,original sound,91000
7480993221586292014,3574,1596,N/A,The Rock,Dwayne Johnson & Disney,Can I Get A Chee Hoo?,141500
7478382826568568110,6949,7281,N/A,The Rock,Travis Scott,FE!N (feat. Playboi Carti),571700
7475105018052480302,9594,7703,N/A,The Rock,The Rock,original sound,480100
7474681315955150126,155900,3200000,N/A,The Rock,The Rock,original sound,33700000
7473147398718573866,5738,13100,N/A,The Rock,husna,im obsessed,443600
7473137749025967406,4277,3243,N/A,The Rock,The Rock,original sound,217900
7472396683477830955,2067,684,N/A,The Rock,The Rock,original sound,88400
7461443489067240747,197400,2100000,N/A,The Rock,The Rock,original sound,17400000
7460513088354258219,7302,2553,N/A,The Rock,The Rock,original sound,249600
