extra,log_pb,shareMeta,statusCode,status_code,status_msg,userInfo
"{'fatal_item_ids': [], 'logid': '20250716222617BBC45A1C8FFABA2387A8', 'now': 1752675977000}",{'impr_id': '20250716222617BBC45A1C8FFABA2387A8'},"{'desc': '@unimelb_health 100.4k Followers, 31 Following, 3.8m Likes - Watch awesome short videos created by @unimelb health students', 'title': '@unimelb health students on TikTok'}",0,0,,"{'stats': {'diggCount': 0, 'followerCount': 100400, 'followingCount': 31, 'friendCount': 7, 'heart': 3800000, 'heartCount': 3800000, 'videoCount': 367}, 'statsV2': {'diggCount': '0', 'followerCount': '100375', 'followingCount': '31', 'friendCount': '7', 'heart': '3789721', 'heartCount': '3789721', 'videoCount': '367'}, 'user': {'UserStoryStatus': 0, 'avatarLarger': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/339f74379a4be527313668c9ab848cd2~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=6d56553a&x-expires=1752847200&x-signature=kV9eUrpkXSVfCJ5FeQUYtHvRffA%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarMedium': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/339f74379a4be527313668c9ab848cd2~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=67bdfa35&x-expires=1752847200&x-signature=ceenVebSojFpdIDjK5c%2F5eMwHpE%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarThumb': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/339f74379a4be527313668c9ab848cd2~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=f88941e6&x-expires=1752847200&x-signature=8Nqi0spSB2xVPTWaeV3DxcH1I1E%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'canExpPlaylist': True, 'commentSetting': 0, 'commerceUserInfo': {'commerceUser': False}, 'downloadSetting': 0, 'duetSetting': 0, 'followingVisibility': 1, 'ftc': False, 'id': '7028061222441305090', 'isADVirtual': False, 'isEmbedBanned': False, 'nickNameModifyTime': 1656997131, 'nickname': '@unimelb health students', 'openFavorite': False, 'privateAccount': False, 'profileEmbedPermission': 1, 'profileTab': {'showPlayListTab': True}, 'relation': 0, 'secUid': 'MS4wLjABAAAAx8yiKat4GnEX4a60TNzSkX1w1b8oi6S5HbZtDM2YVOHrtoBAJnNzm5l1zZmLX51-', 'secret': False, 'signature': '@unimelb students helping tiktok stay healthy', 'stitchSetting': 0, 'ttSeller': False, 'uniqueId': 'unimelb_health', 'verified': False}}"
"{'fatal_item_ids': [], 'logid': '2025071622261702385B914A5C2D243F63', 'now': 1752675977000}",{'impr_id': '2025071622261702385B914A5C2D243F63'},"{'desc': '@rmit_cogivui 81.9k Followers, 1 Following, 2.1m Likes - Watch awesome short videos created by RMIT & Sinh Viên Tương Lai', 'title': 'RMIT & Sinh Viên Tương Lai on TikTok'}",0,0,,"{'stats': {'diggCount': 0, 'followerCount': 81900, 'followingCount': 1, 'friendCount': 1, 'heart': 2100000, 'heartCount': 2100000, 'videoCount': 814}, 'statsV2': {'diggCount': '0', 'followerCount': '81908', 'followingCount': '1', 'friendCount': '1', 'heart': '2114703', 'heartCount': '2114703', 'videoCount': '814'}, 'user': {'UserStoryStatus': 0, 'avatarLarger': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/9925674e688690cad1c42bb4c9dad7c1~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=2e039a1e&x-expires=1752847200&x-signature=uq7zRcqPtlHqMkUbj92NeggnUe4%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarMedium': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/9925674e688690cad1c42bb4c9dad7c1~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=c0ee2f74&x-expires=1752847200&x-signature=GY2%2FhNtc8jkBTjIwTVREjRS1z%2F0%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarThumb': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/9925674e688690cad1c42bb4c9dad7c1~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=724297a8&x-expires=1752847200&x-signature=1L76LbO4dyixl30icaUl3GrgWA8%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'bioLink': {'link': 'https://linktr.ee/rmit_svtl', 'risk': 0}, 'canExpPlaylist': True, 'commentSetting': 0, 'commerceUserInfo': {'commerceUser': False}, 'downloadSetting': 0, 'duetSetting': 0, 'followingVisibility': 2, 'ftc': False, 'id': '7080418496224248834', 'isADVirtual': False, 'isEmbedBanned': False, 'nickNameModifyTime': 1713950673, 'nickname': 'RMIT & Sinh Viên Tương Lai', 'openFavorite': False, 'privateAccount': False, 'profileEmbedPermission': 1, 'profileTab': {'showPlayListTab': True}, 'relation': 0, 'secUid': 'MS4wLjABAAAA3fqwmcIXBRlglWqQzL427skjNvpTz2hClP086hlqEaD8ugwAIM6_NzkMCcJU2_my', 'secret': False, 'signature': '✨ Welcome to RMIT!✨\nTháng 7 này RMIT có Hội thảo thông tin. Đăng ký tham gia👇🏻', 'stitchSetting': 0, 'ttSeller': False, 'uniqueId': 'rmit_cogivui', 'verified': False}}"
"{'fatal_item_ids': [], 'logid': '20250716222618EBDFDB7352454222315F', 'now': 1752675978000}",{'impr_id': '20250716222618EBDFDB7352454222315F'},"{'desc': '@hoisinhvienvietnam 7473 Followers, 1 Following, 88.6k Likes - Watch awesome short videos created by Hội Sinh Viên Việt Nam', 'title': 'Hội Sinh Viên Việt Nam on TikTok'}",0,0,,"{'stats': {'diggCount': 0, 'followerCount': 7473, 'followingCount': 1, 'friendCount': 0, 'heart': 88600, 'heartCount': 88600, 'videoCount': 410}, 'statsV2': {'diggCount': '0', 'followerCount': '7473', 'followingCount': '1', 'friendCount': '0', 'heart': '88639', 'heartCount': '88639', 'videoCount': '410'}, 'user': {'UserStoryStatus': 0, 'avatarLarger': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/2afabf1615d05d54b470584febfd3609~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=148243b4&x-expires=1752847200&x-signature=ujHMoiyiaSv6wZ2jS3mLYgz6CuI%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarMedium': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/2afabf1615d05d54b470584febfd3609~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=bded05b6&x-expires=1752847200&x-signature=7R9iIph92BThIZdijww8TgrEvh4%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarThumb': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/2afabf1615d05d54b470584febfd3609~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=b97da385&x-expires=1752847200&x-signature=5DkP2966R3KLGmNUPwI%2BWql7ToE%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'canExpPlaylist': True, 'commentSetting': 0, 'commerceUserInfo': {'commerceUser': False}, 'downloadSetting': 0, 'duetSetting': 0, 'followingVisibility': 1, 'ftc': False, 'id': '6936033970304812034', 'isADVirtual': False, 'isEmbedBanned': False, 'nickNameModifyTime': 1614940739, 'nickname': 'Hội Sinh Viên Việt Nam', 'openFavorite': False, 'privateAccount': False, 'profileEmbedPermission': 1, 'profileTab': {'showPlayListTab': False}, 'relation': 0, 'secUid': 'MS4wLjABAAAA1auZndQp2mOEk1y328_cfNaCALvOUMSE6-yjHv2aC1fl34UGqpVwm1bJo6t4wUXu', 'secret': False, 'signature': '🕊️ Chào mừng Đại hội đại biểu toàn quốc Hội Sinh viên Việt Nam lần thứ XI 🕊️', 'stitchSetting': 0, 'ttSeller': False, 'uniqueId': 'hoisinhvienvietnam', 'verified': True}}"
"{'fatal_item_ids': [], 'logid': '20250716222618B4BE4B50702AE31CE597', 'now': 1752675978000}",{'impr_id': '20250716222618B4BE4B50702AE31CE597'},"{'desc': '@gmukurds 800 Followers, 28 Following, 7443 Likes - Watch awesome short videos created by Kurdish Student Organization', 'title': 'Kurdish Student Organization on TikTok'}",0,0,,"{'stats': {'diggCount': 0, 'followerCount': 800, 'followingCount': 28, 'friendCount': 19, 'heart': 7443, 'heartCount': 7443, 'videoCount': 21}, 'statsV2': {'diggCount': '0', 'followerCount': '800', 'followingCount': '28', 'friendCount': '19', 'heart': '7443', 'heartCount': '7443', 'videoCount': '21'}, 'user': {'UserStoryStatus': 0, 'avatarLarger': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7314437701817040938~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=5221820e&x-expires=1752847200&x-signature=DqTkU8%2FyoJrO2U4vdzDMgK%2FOO14%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarMedium': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7314437701817040938~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=feeb4bd5&x-expires=1752847200&x-signature=7axcMbn24%2F4e5%2BjASg0FJ9RjAQ8%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarThumb': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7314437701817040938~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=49352c36&x-expires=1752847200&x-signature=IernVuudC4bvW4egCPN9Gkfnm7Y%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'canExpPlaylist': True, 'commentSetting': 0, 'commerceUserInfo': {'commerceUser': False}, 'downloadSetting': 0, 'duetSetting': 0, 'followingVisibility': 1, 'ftc': False, 'id': '7153312514970354734', 'isADVirtual': False, 'isEmbedBanned': False, 'nickNameModifyTime': 1703038290, 'nickname': 'Kurdish Student Organization', 'openFavorite': False, 'privateAccount': False, 'profileEmbedPermission': 1, 'profileTab': {'showPlayListTab': False}, 'relation': 0, 'secUid': 'MS4wLjABAAAAFnvOxf8nZFHsjzktC72O5RmxPTjGWNoSXE0EK1bZ_ROekw6PZ-0BmVka7hugQKQx', 'secret': False, 'signature': 'Kurdish Student Organization (KSO) at George Mason University \n❤️☀️💚', 'stitchSetting': 0, 'ttSeller': False, 'uniqueId': 'gmukurds', 'verified': False}}"
"{'fatal_item_ids': [], 'logid': '20250716222618656CDD3C6243B846996F', 'now': 1752675978000}",{'impr_id': '20250716222618656CDD3C6243B846996F'},"{'desc': '@studentorganizationskpru 604 Followers, 6 Following, 14.3k Likes - Watch awesome short videos created by studentorganizationskpru', 'title': 'studentorganizationskpru on TikTok'}",0,0,,"{'stats': {'diggCount': 0, 'followerCount': 604, 'followingCount': 6, 'friendCount': 4, 'heart': 14300, 'heartCount': 14300, 'videoCount': 20}, 'statsV2': {'diggCount': '0', 'followerCount': '604', 'followingCount': '6', 'friendCount': '4', 'heart': '14296', 'heartCount': '14296', 'videoCount': '20'}, 'user': {'UserStoryStatus': 0, 'avatarLarger': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/7364674202722533393~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=e3f24820&x-expires=1752847200&x-signature=kX%2BPmi530g%2BwtaaZv%2F0fm%2F4I%2F4M%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarMedium': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/7364674202722533393~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=97dbcb70&x-expires=1752847200&x-signature=6iYJajGqpxaJF8hQochZOtfwE18%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarThumb': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/7364674202722533393~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=4e70a0b5&x-expires=1752847200&x-signature=J174sMk1AUCE7Hv2w4JR7uQf%2FCk%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'canExpPlaylist': True, 'commentSetting': 0, 'commerceUserInfo': {'commerceUser': False}, 'downloadSetting': 0, 'duetSetting': 0, 'followingVisibility': 1, 'ftc': False, 'id': '7364673398403269639', 'isADVirtual': False, 'isEmbedBanned': False, 'nickNameModifyTime': 1750426590, 'nickname': 'studentorganizationskpru', 'openFavorite': False, 'privateAccount': False, 'profileEmbedPermission': 1, 'profileTab': {'showPlayListTab': False}, 'relation': 0, 'secUid': 'MS4wLjABAAAA0jngkIB8vj1GNBH858zub6ULQyOI2AaxIYZ86FzgF1LB5YdBhbcGZ0qbs8P9WadS', 'secret': False, 'signature': '', 'stitchSetting': 0, 'ttSeller': False, 'uniqueId': 'studentorganizationskpru', 'uniqueIdModifyTime': 1750426589, 'verified': False}}"
"{'fatal_item_ids': [], 'logid': '20250716222618AFF85C59D0326B1FECE7', 'now': 1752675978000}",{'impr_id': '20250716222618AFF85C59D0326B1FECE7'},"{'desc': '@khalilstudentorg 1757 Followers, 5 Following, 46.3k Likes - Watch awesome short videos created by khalilstudentorganization', 'title': 'khalilstudentorganization on TikTok'}",0,0,,"{'stats': {'diggCount': 0, 'followerCount': 1757, 'followingCount': 5, 'friendCount': 5, 'heart': 46300, 'heartCount': 46300, 'videoCount': 423}, 'statsV2': {'diggCount': '0', 'followerCount': '1757', 'followingCount': '5', 'friendCount': '5', 'heart': '46258', 'heartCount': '46258', 'videoCount': '423'}, 'user': {'UserStoryStatus': 0, 'avatarLarger': 'https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-giso/7e112fce3f9f7548498ec6fb4c976286~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=bfb64742&x-expires=1752847200&x-signature=t9K8YYNX7rL3DZ9bWKbr%2F%2FgLYmc%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarMedium': 'https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-giso/7e112fce3f9f7548498ec6fb4c976286~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=79147ebf&x-expires=1752847200&x-signature=kVoVugpGsrHOfbKNEfpKMLyInY8%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarThumb': 'https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-giso/7e112fce3f9f7548498ec6fb4c976286~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=31a7314c&x-expires=1752847200&x-signature=4Qb2hFGA9zOK4ZyzhbEHf5%2BGjF4%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'canExpPlaylist': True, 'commentSetting': 0, 'commerceUserInfo': {'commerceUser': False}, 'downloadSetting': 0, 'duetSetting': 0, 'followingVisibility': 1, 'ftc': False, 'id': '6994859689285305350', 'isADVirtual': False, 'isEmbedBanned': False, 'nickNameModifyTime': 1645158802, 'nickname': 'khalilstudentorganization', 'openFavorite': False, 'privateAccount': False, 'profileEmbedPermission': 1, 'profileTab': {'showPlayListTab': False, 'showQuestionTab': True}, 'relation': 0, 'secUid': 'MS4wLjABAAAAgG2SjP5hEVzeO5E4XxTQTmXZQJivIU2qzhIkicJJT-vm92fV6jznhBohBrCdu6V1', 'secret': False, 'signature': 'خاورہ چہ زما دہ نو اختیار بہ ھم زما وی\n\nکار بہ ھم زما وی لار بہ ھم زما وی', 'stitchSetting': 0, 'ttSeller': False, 'uniqueId': 'khalilstudentorg', 'verified': False}}"
"{'fatal_item_ids': [], 'logid': '20250716222619134BFD29384EBD235B09', 'now': 1752675979000}",{'impr_id': '20250716222619134BFD29384EBD235B09'},"{'desc': '@khalilstudentsorg0 8030 Followers, 13 Following, 193.6k Likes - Watch awesome short videos created by khalilstudentsorganization', 'title': 'khalilstudentsorganization on TikTok'}",0,0,,"{'stats': {'diggCount': 0, 'followerCount': 8030, 'followingCount': 13, 'friendCount': 9, 'heart': 193600, 'heartCount': 193600, 'videoCount': 62}, 'statsV2': {'diggCount': '0', 'followerCount': '8030', 'followingCount': '13', 'friendCount': '9', 'heart': '193594', 'heartCount': '193594', 'videoCount': '62'}, 'user': {'UserStoryStatus': 0, 'avatarLarger': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/addb13aed98c04c3287bf6d8d0dbad98~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=70234b05&x-expires=1752847200&x-signature=cAZSrDUGKgd6sThZ96uuqH%2BtRNA%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarMedium': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/addb13aed98c04c3287bf6d8d0dbad98~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=ae39555a&x-expires=1752847200&x-signature=WAnzegDVMmbU%2BsdyK91lHAbWT28%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarThumb': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/addb13aed98c04c3287bf6d8d0dbad98~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=7c9b0ae1&x-expires=1752847200&x-signature=ziUZY%2FMuV0yHNyZWWCH%2Bu%2BB1wiI%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'canExpPlaylist': True, 'commentSetting': 0, 'commerceUserInfo': {'commerceUser': False}, 'downloadSetting': 0, 'duetSetting': 0, 'followingVisibility': 1, 'ftc': False, 'id': '7426682402259518472', 'isADVirtual': False, 'isEmbedBanned': False, 'nickNameModifyTime': 1729159461, 'nickname': 'khalilstudentsorganization', 'openFavorite': False, 'privateAccount': False, 'profileEmbedPermission': 1, 'profileTab': {'showPlayListTab': False}, 'relation': 0, 'secUid': 'MS4wLjABAAAAGzEoMi6nlMns_nQoYeeNLJ8kN18Ixmiq7HQRvl0nj4bPyXRRYYrMOz5VHkRaRU_4', 'secret': False, 'signature': '', 'stitchSetting': 0, 'ttSeller': False, 'uniqueId': 'khalilstudentsorg0', 'verified': False}}"
"{'fatal_item_ids': [], 'logid': '20250716222619FF691E71CAC3114C0AC1', 'now': 1752675979000}",{'impr_id': '20250716222619FF691E71CAC3114C0AC1'},"{'desc': '@studentorganization.npru 675 Followers, 31 Following, 8084 Likes - Watch awesome short videos created by องค์การนักศึกษามรน. NPRU', 'title': 'องค์การนักศึกษามรน. NPRU on TikTok'}",0,0,,"{'stats': {'diggCount': 0, 'followerCount': 675, 'followingCount': 31, 'friendCount': 26, 'heart': 8084, 'heartCount': 8084, 'videoCount': 7}, 'statsV2': {'diggCount': '0', 'followerCount': '675', 'followingCount': '31', 'friendCount': '26', 'heart': '8084', 'heartCount': '8084', 'videoCount': '7'}, 'user': {'UserStoryStatus': 0, 'avatarLarger': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/16a1ff532092c44a7e8da8eb1e1be6a7~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=c3a84528&x-expires=1752847200&x-signature=zdJGwwQzpM0s7LIuYmoir1LmAnI%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarMedium': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/16a1ff532092c44a7e8da8eb1e1be6a7~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=fe313a01&x-expires=1752847200&x-signature=SGbtK7Acx3sWjhFy0xEpfR4lrrY%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarThumb': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/16a1ff532092c44a7e8da8eb1e1be6a7~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=3ce0b58f&x-expires=1752847200&x-signature=UdaRcFFoR7ouqMby8SV4bYmTIaY%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'canExpPlaylist': True, 'commentSetting': 0, 'commerceUserInfo': {'commerceUser': False}, 'downloadSetting': 0, 'duetSetting': 0, 'followingVisibility': 1, 'ftc': False, 'id': '7422964947385500680', 'isADVirtual': False, 'isEmbedBanned': False, 'nickNameModifyTime': 1746610404, 'nickname': 'องค์การนักศึกษามรน. NPRU', 'openFavorite': False, 'privateAccount': False, 'profileEmbedPermission': 1, 'profileTab': {'showPlayListTab': False}, 'relation': 0, 'secUid': 'MS4wLjABAAAAsPm0l5CRQblrrFZ2O36OaFmOsVhCy07Xvo8rOSyHHSOwMnVj-3txn2lv63ZTm3L9', 'secret': False, 'signature': 'Instagram : so.npru\nPage Facebook: องค์การนักศึกษามหาวิทยาลัยราชภัฏนครปฐม', 'stitchSetting': 0, 'ttSeller': False, 'uniqueId': 'studentorganization.npru', 'verified': False}}"
"{'fatal_item_ids': [], 'logid': '20250716222619FBA72337263B2820D8B6', 'now': 1752675979000}",{'impr_id': '20250716222619FBA72337263B2820D8B6'},"{'desc': '@nuts241 482 Followers, 87 Following, 15.6k Likes - Watch awesome short videos created by Student organization', 'title': 'Student organization on TikTok'}",0,0,,"{'stats': {'diggCount': 0, 'followerCount': 482, 'followingCount': 87, 'friendCount': 86, 'heart': 15600, 'heartCount': 15600, 'videoCount': 23}, 'statsV2': {'diggCount': '0', 'followerCount': '482', 'followingCount': '87', 'friendCount': '86', 'heart': '15640', 'heartCount': '15640', 'videoCount': '23'}, 'user': {'UserStoryStatus': 0, 'avatarLarger': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/c4403a064dedff120daae7042f16c3bc~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=f6ec4891&x-expires=1752847200&x-signature=9HC2ZJdgLvLbG6szzqSlxvbEk74%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarMedium': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/c4403a064dedff120daae7042f16c3bc~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=67259bab&x-expires=1752847200&x-signature=EnGf4yyFUi5muFZwpi8f5Rp1jzo%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarThumb': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/c4403a064dedff120daae7042f16c3bc~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=fde64e26&x-expires=1752847200&x-signature=uCyJLu2R1tPpkcFQa6zFHpPctFA%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'canExpPlaylist': True, 'commentSetting': 0, 'commerceUserInfo': {'commerceUser': False}, 'downloadSetting': 0, 'duetSetting': 0, 'followingVisibility': 1, 'ftc': False, 'id': '7208792497035772936', 'isADVirtual': False, 'isEmbedBanned': False, 'nickNameModifyTime': 1738408713, 'nickname': 'Student organization', 'openFavorite': False, 'privateAccount': False, 'profileEmbedPermission': 1, 'profileTab': {'showPlayListTab': False}, 'relation': 0, 'secUid': 'MS4wLjABAAAA6eyAJWwoZxIyWeecNn9WzZQUvL66PYspJ3G-RI4lmVNOKqx52Q68xgksxWjCxjbt', 'secret': False, 'signature': 'คณะกรรมการองค์กรนักศึกษา สกร.ระดับเขตห้วยขวาง', 'stitchSetting': 0, 'ttSeller': False, 'uniqueId': 'nuts241', 'verified': False}}"
"{'fatal_item_ids': [], 'logid': '202507162226194022C3A8F38C1C22A02F', 'now': 1752675979000}",{'impr_id': '202507162226194022C3A8F38C1C22A02F'},"{'desc': '@aup_student_organization 143 Followers, 6 Following, 3783 Likes - Watch awesome short videos created by AUP STUDENTS ORGANIZATION', 'title': 'AUP STUDENTS ORGANIZATION on TikTok'}",0,0,,"{'stats': {'diggCount': 0, 'followerCount': 143, 'followingCount': 6, 'friendCount': 4, 'heart': 3783, 'heartCount': 3783, 'videoCount': 37}, 'statsV2': {'diggCount': '0', 'followerCount': '143', 'followingCount': '6', 'friendCount': '4', 'heart': '3783', 'heartCount': '3783', 'videoCount': '37'}, 'user': {'UserStoryStatus': 0, 'avatarLarger': 'https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-euttp/86672cc015537ddc118f1ef7600a178f~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=b18acbc4&x-expires=1752847200&x-signature=%2BAeEybPKPSEzicjYDDUkYh9YA3I%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarMedium': 'https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-euttp/86672cc015537ddc118f1ef7600a178f~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=6ce85850&x-expires=1752847200&x-signature=LSUeiYkoVO4UgJWKjUxw%2F8iPOCY%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'avatarThumb': 'https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-euttp/86672cc015537ddc118f1ef7600a178f~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=c6af7a24&x-expires=1752847200&x-signature=zUvYLFRs%2B1rguNUbSQ8eSQUX2Po%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my', 'canExpPlaylist': True, 'commentSetting': 0, 'commerceUserInfo': {'commerceUser': False}, 'downloadSetting': 0, 'duetSetting': 0, 'followingVisibility': 2, 'ftc': False, 'id': '7351812848320218144', 'isADVirtual': False, 'isEmbedBanned': False, 'nickNameModifyTime': 1733760654, 'nickname': 'AUP STUDENTS ORGANIZATION', 'openFavorite': False, 'privateAccount': False, 'profileEmbedPermission': 1, 'profileTab': {'showPlayListTab': False}, 'relation': 0, 'secUid': 'MS4wLjABAAAAifvYbySph54nZHAB57sTYdJeQztyUUXOoeoyXLIWNfJBT6lCeil4neyVz5heebv9', 'secret': False, 'signature': 'AUP STUDENTS ORGANIZATION', 'stitchSetting': 0, 'ttSeller': False, 'uniqueId': 'aup_student_organization', 'verified': False}}"
